系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
青岛地铁,西海岸快线,嘉陵江西路,0.0,0.0,120.178791,35.975156,900000071736024,,
青岛地铁,西海岸快线,香江路,1.189,1.189,120.186382,35.966405,900000071736025,,
青岛地铁,西海岸快线,井冈山路,1.446,2.635,120.187630,35.953437,900000071736003,,
青岛地铁,西海岸快线,积米崖,3.23,5.865,120.164905,35.930960,900000071736004,,
青岛地铁,西海岸快线,灵山卫,2.449,8.314,120.138472,35.925760,900000071736005,,
青岛地铁,西海岸快线,学院路,1.874,10.188,120.119096,35.919600,900000071736006,,
青岛地铁,西海岸快线,朝阳山,1.989,12.177,120.101950,35.908319,900000071736007,,
青岛地铁,西海岸快线,辛屯,1.638,13.815,120.087138,35.899779,900000071736008,,
青岛地铁,西海岸快线,两河,1.938,15.753,120.066772,35.894161,900000071736009,,
青岛地铁,西海岸快线,隐珠,2.883,18.636,120.034854,35.892216,900000071736010,,
青岛地铁,西海岸快线,凤凰山路,1.121,19.757,120.022689,35.890085,900000071736011,,
青岛地铁,西海岸快线,双珠路,2.147,21.904,120.016561,35.871423,900000071736012,,
青岛地铁,西海岸快线,世纪大道,2.733,24.637,120.002406,35.849688,900000071736013,,
青岛地铁,西海岸快线,盛海路(世博城),2.457,27.094,120.002987,35.827597,900000071736014,,
青岛地铁,西海岸快线,大珠山,1.808,28.902,119.989209,35.815786,900000071736015,,
青岛地铁,西海岸快线,张家楼,6.173,35.075,119.926292,35.793926,900000071736016,,
青岛地铁,西海岸快线,古镇口,5.62,40.695,119.893752,35.750828,900000071736017,,
青岛地铁,西海岸快线,龙湾,6.793,47.488,119.902138,35.690119,900000071736018,,
青岛地铁,西海岸快线,琅琊,3.25,50.738,119.875127,35.670802,900000071736019,,
青岛地铁,西海岸快线,贡口湾,3.467,54.205,119.837421,35.676627,900000071736020,,
青岛地铁,西海岸快线,董家口港,3.739,57.944,119.797359,35.685106,900000071736021,,
青岛地铁,西海岸快线,泊里,2.735,60.679,119.767181,35.687125,900000071736022,,
青岛地铁,西海岸快线,董家口火车站,4.81,65.489,119.715850,35.675590,900000071736023,,
