系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
上海地铁,地铁13号线,金运路,0.0,0.0,121.319308,31.240986,310100024524008,,
上海地铁,地铁13号线,金沙江西路,1.507,1.507,121.335156,31.241152,310100024524007,,
上海地铁,地铁13号线,丰庄,1.906,3.413,121.355141,31.242553,310100024524006,,
上海地铁,地铁13号线,祁连山南路,1.277,4.69,121.367275,31.237625,310100024524005,,
上海地铁,地铁13号线,真北路,1.518,6.208,121.381948,31.232235,310100024524004,,
上海地铁,地铁13号线,大渡河路,1.188,7.396,121.394431,31.231752,310100024524003,,
上海地铁,地铁13号线,金沙江路,1.785,9.181,121.413201,31.232147,310100024524002,,
上海地铁,地铁13号线,隆德路,1.003,10.184,121.423576,31.230509,310100024518020,,
上海地铁,地铁13号线,武宁路,0.785,10.969,121.430504,31.234346,310100024524010,,
上海地铁,地铁13号线,长寿路,1.034,12.003,121.438272,31.240860,310100024524009,,
上海地铁,地铁13号线,江宁路,0.73,12.733,121.444830,31.244282,310100024524020,,
上海地铁,地铁13号线,汉中路,1.345,14.078,121.458699,31.241883,310100024524019,,
上海地铁,地铁13号线,自然博物馆,0.697,14.775,121.462366,31.236451,310100024524018,,
上海地铁,地铁13号线,南京西路,0.768,15.543,121.459971,31.229853,310100024524017,,
上海地铁,地铁13号线,淮海中路,1.167,16.71,121.464363,31.220056,310100024524016,,
上海地铁,地铁13号线,一大会址·新天地,1.108,17.818,121.475182,31.216367,310100024524015,,
上海地铁,地铁13号线,马当路,0.786,18.604,121.477256,31.209520,310100024524014,,
上海地铁,地铁13号线,世博会博物馆,1.391,19.995,121.481592,31.197572,310100024524013,,
上海地铁,地铁13号线,世博大道,1.664,21.659,121.484313,31.182789,310100024524012,,
上海地铁,地铁13号线,长清路,0.984,22.643,121.487775,31.174452,310100024524032,,
上海地铁,地铁13号线,成山路,0.904,23.547,121.496220,31.170735,310100024524031,,
上海地铁,地铁13号线,东明路,1.41,24.957,121.510868,31.172646,310100024524030,,
上海地铁,地铁13号线,华鹏路,1.547,26.504,121.526567,31.176276,310100024524029,,
上海地铁,地铁13号线,下南路,1.339,27.843,121.540189,31.179295,310100024524028,,
上海地铁,地铁13号线,北蔡,1.129,28.972,121.552017,31.180131,310100024524027,,
上海地铁,地铁13号线,陈春路,0.812,29.784,121.558194,31.175095,310100024524026,,
上海地铁,地铁13号线,莲溪路,1.027,30.811,121.566414,31.169110,310100024524025,,
上海地铁,地铁13号线,华夏中路,1.752,32.563,121.583109,31.175759,310100024524024,,
上海地铁,地铁13号线,中科路,1.873,34.436,121.602465,31.178862,310100024524023,,
上海地铁,地铁13号线,学林路,1.243,35.679,121.614363,31.183476,310100024524022,,
上海地铁,地铁13号线,张江路,1.544,37.223,121.629182,31.189130,310100024524021,,
