系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
沈阳地铁,地铁3号线,李达,0.0,0.0,123.141468,41.667762,900000095078032,,
沈阳地铁,地铁3号线,铁西汽车工厂,1.788,1.788,123.152064,41.681757,900000095078001,,
沈阳地铁,地铁3号线,马贝,2.28,4.068,123.172382,41.695553,900000095078002,,
沈阳地铁,地铁3号线,中德大街,1.569,5.637,123.190315,41.700018,900000095078003,,
沈阳地铁,地铁3号线,细河悠谷,2.639,8.276,123.218309,41.711265,900000095078004,,
沈阳地铁,地铁3号线,翟家,1.863,10.139,123.237135,41.720381,900000095078005,,
沈阳地铁,地铁3号线,工业大学,2.333,12.472,123.262086,41.730043,900000095078006,,
沈阳地铁,地铁3号线,宁官,1.362,13.834,123.274286,41.738233,900000095078007,,
沈阳地铁,地铁3号线,余良,0.776,14.61,123.283356,41.739950,900000095078008,,
沈阳地铁,地铁3号线,甘官,2.143,16.753,123.307683,41.746429,900000095078009,,
沈阳地铁,地铁3号线,千岛湖街,1.355,18.108,123.323528,41.743475,900000095078010,,
沈阳地铁,地铁3号线,南阳湖街,0.964,19.072,123.333152,41.748332,900000095078011,,
沈阳地铁,地铁3号线,大通湖街,1.197,20.269,123.347148,41.750949,900000039632011,,
沈阳地铁,地铁3号线,南李官,1.467,21.736,123.362173,41.757914,900000095078013,,
