系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
深圳地铁,地铁13号线(石岩线),深圳湾口岸,人才公园,900000094840001,900000094840002,1.249,
深圳地铁,地铁13号线(石岩线),人才公园,后海,900000094840002,440300024056016,0.679,
深圳地铁,地铁13号线(石岩线),后海,科苑,440300024056016,440300024076011,1.022,
深圳地铁,地铁13号线(石岩线),科苑,粤海门,440300024076011,440300024054033,0.635,
深圳地铁,地铁13号线(石岩线),粤海门,深大,440300024054033,440300024063014,0.679,
深圳地铁,地铁13号线(石岩线),深大,高新中,440300024063014,900000094840007,0.935,
深圳地铁,地铁13号线(石岩线),高新中,高新北,900000094840007,900000094840017,1.091,
深圳地铁,地铁13号线(石岩线),高新北,石鼓,900000094840017,900000094840019,1.964,
深圳地铁,地铁13号线(石岩线),石鼓,留仙洞,900000094840019,440300024058020,0.681,
深圳地铁,地铁13号线(石岩线),留仙洞,百旺,440300024058020,900000094840021,4.64,
深圳地铁,地铁13号线(石岩线),百旺,应人石,900000094840021,900000094840022,2.812,
深圳地铁,地铁13号线(石岩线),应人石,罗租,900000094840022,900000094840023,2.742,
深圳地铁,地铁13号线(石岩线),罗租,石岩,900000094840023,900000094840024,1.405,
深圳地铁,地铁13号线(石岩线),石岩,上屋,900000094840024,440300024046025,0.982,
