系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
深圳地铁,地铁16号线(龙坪线),园山西坑,0.0,0.0,114.224433,22.616749,900000095071025,,
深圳地铁,地铁16号线(龙坪线),安良,1.268,1.268,114.219711,22.627282,900000095071026,,
深圳地铁,地铁16号线(龙坪线),福坑,0.965,2.233,114.222133,22.635664,900000095071027,,
深圳地铁,地铁16号线(龙坪线),大康,0.777,3.01,114.228856,22.638878,900000095071028,,
深圳地铁,地铁16号线(龙坪线),园山,1.176,4.186,114.238076,22.645162,900000095071029,,
深圳地铁,地铁16号线(龙坪线),大安,1.077,5.263,114.235939,22.654644,900000095071030,,
深圳地铁,地铁16号线(龙坪线),吉溪,0.699,5.962,114.232812,22.660231,900000095071031,,
深圳地铁,地铁16号线(龙坪线),金源,1.553,7.515,114.230389,22.674019,900000095071032,,
深圳地铁,地铁16号线(龙坪线),大运,1.321,8.836,114.228163,22.685720,440300024060007,,
深圳地铁,地铁16号线(龙坪线),大运中心,1.301,10.137,114.220797,22.695241,900000095071002,,
深圳地铁,地铁16号线(龙坪线),龙城公园,1.056,11.193,114.218373,22.704475,900000095071003,,
深圳地铁,地铁16号线(龙坪线),黄阁坑,1.624,12.817,114.218135,22.719078,900000095071004,,
深圳地铁,地铁16号线(龙坪线),愉园,1.155,13.972,114.223374,22.728275,900000095071005,,
深圳地铁,地铁16号线(龙坪线),回龙埔,1.285,15.257,114.235861,22.729192,900000095071006,,
深圳地铁,地铁16号线(龙坪线),尚景,0.793,16.05,114.243587,22.729359,900000095071007,,
深圳地铁,地铁16号线(龙坪线),盛平,0.966,17.016,114.252682,22.731624,900000095071008,,
深圳地铁,地铁16号线(龙坪线),龙园,1.402,18.418,114.266336,22.731005,900000095071009,,
深圳地铁,地铁16号线(龙坪线),双龙,1.163,19.581,114.277422,22.728806,440300024060002,,
深圳地铁,地铁16号线(龙坪线),新塘围,0.997,20.578,114.286428,22.725432,900000095071011,,
深圳地铁,地铁16号线(龙坪线),龙东,1.111,21.689,114.296398,22.721520,900000095071012,,
深圳地铁,地铁16号线(龙坪线),宝龙同乐,2.129,23.818,114.312277,22.709196,900000095071013,,
深圳地铁,地铁16号线(龙坪线),坪山,1.602,25.42,114.327432,22.705715,900000095071014,,
深圳地铁,地铁16号线(龙坪线),新和,0.874,26.294,114.335478,22.703141,900000095071015,,
深圳地铁,地铁16号线(龙坪线),六和,0.826,27.12,114.337737,22.696013,900000095071016,,
深圳地铁,地铁16号线(龙坪线),坪山围,0.795,27.915,114.343660,22.691398,900000095033005,,
深圳地铁,地铁16号线(龙坪线),坪环,0.739,28.654,114.346631,22.685346,900000095071018,,
深圳地铁,地铁16号线(龙坪线),东纵纪念馆,0.875,29.529,114.355129,22.685981,900000095071019,,
深圳地铁,地铁16号线(龙坪线),沙壆,1.007,30.536,114.364930,22.686481,900000095071020,,
深圳地铁,地铁16号线(龙坪线),燕子湖,1.09,31.626,114.375337,22.688473,900000095071021,,
深圳地铁,地铁16号线(龙坪线),石井,0.876,32.502,114.383047,22.691854,900000095071022,,
深圳地铁,地铁16号线(龙坪线),技术大学,1.996,34.498,114.401168,22.698379,900000095071023,,
深圳地铁,地铁16号线(龙坪线),田心,1.435,35.933,114.414221,22.693740,900000095071024,,
