系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
深圳地铁,地铁1号线(罗宝线),罗湖,0.0,0.0,114.118666,22.532083,440300024063031,,
深圳地铁,地铁1号线(罗宝线),国贸,0.845,0.845,114.118909,22.539680,440300024063030,,
深圳地铁,地铁1号线(罗宝线),老街,0.545,1.39,114.116939,22.544232,440300024060022,,
深圳地铁,地铁1号线(罗宝线),大剧院,0.976,2.366,114.107811,22.541800,440300024063028,,
深圳地铁,地铁1号线(罗宝线),科学馆,1.305,3.671,114.095173,22.540618,440300024046036,,
深圳地铁,地铁1号线(罗宝线),华强路,1.031,4.702,114.085133,22.540459,440300024063026,,
深圳地铁,地铁1号线(罗宝线),岗厦,1.848,6.55,114.068190,22.534854,440300024063025,,
深圳地铁,地铁1号线(罗宝线),会展中心,0.728,7.278,114.061101,22.534769,440300024063024,,
深圳地铁,地铁1号线(罗宝线),购物公园,0.67,7.948,114.054581,22.534655,440300024060029,,
深圳地铁,地铁1号线(罗宝线),香蜜湖,1.704,9.652,114.038637,22.538887,440300024063022,,
深圳地铁,地铁1号线(罗宝线),车公庙,1.348,11.0,114.025830,22.536247,440300024050011,,
深圳地铁,地铁1号线(罗宝线),竹子林,1.265,12.265,114.013917,22.533357,440300024063020,,
深圳地铁,地铁1号线(罗宝线),侨城东,1.776,14.041,113.996651,22.532406,440300024063019,,
深圳地铁,地铁1号线(罗宝线),华侨城,1.165,15.206,113.985369,22.533489,440300024063018,,
深圳地铁,地铁1号线(罗宝线),世界之窗,1.207,16.413,113.974216,22.536900,440300024063017,,
深圳地铁,地铁1号线(罗宝线),白石洲,0.795,17.208,113.967048,22.539604,440300024063016,,
深圳地铁,地铁1号线(罗宝线),高新园,1.358,18.566,113.953842,22.540236,440300024063015,,
深圳地铁,地铁1号线(罗宝线),深大,1.008,19.574,113.944173,22.538667,440300024063014,,
深圳地铁,地铁1号线(罗宝线),桃园,2.145,21.719,113.924781,22.531506,440300024063013,,
深圳地铁,地铁1号线(罗宝线),大新,1.0,22.719,113.915072,22.532232,440300024063012,,
深圳地铁,地铁1号线(罗宝线),鲤鱼门,1.232,23.951,113.903079,22.532005,440300024063011,,
深圳地铁,地铁1号线(罗宝线),前海湾,0.777,24.728,113.897932,22.537121,440300024056006,,
深圳地铁,地铁1号线(罗宝线),新安,1.2,25.928,113.894625,22.547468,440300024063009,,
深圳地铁,地铁1号线(罗宝线),宝安中心,1.096,27.024,113.887233,22.554575,440300024058025,,
深圳地铁,地铁1号线(罗宝线),宝体,0.963,27.987,113.880641,22.560741,440300024063007,,
深圳地铁,地铁1号线(罗宝线),坪洲,1.365,29.352,113.870711,22.568908,440300024063006,,
深圳地铁,地铁1号线(罗宝线),西乡,1.049,30.401,113.863048,22.575149,440300024063005,,
深圳地铁,地铁1号线(罗宝线),固戍,3.359,33.76,113.846792,22.601363,440300024063004,,
深圳地铁,地铁1号线(罗宝线),后瑞,3.269,37.029,113.835449,22.628835,440300024063003,,
深圳地铁,地铁1号线(罗宝线),机场东,2.41,39.439,113.822634,22.647001,440300024063002,,
