系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
石家庄地铁,轨道交通3号线,西三庄,高柱,900000045645018,900000045645019,1.313,
石家庄地铁,轨道交通3号线,高柱,柏林庄,900000045645019,900000045645020,1.399,
石家庄地铁,轨道交通3号线,柏林庄,市庄,900000045645020,900000045645021,1.3,
石家庄地铁,轨道交通3号线,市庄,市二中,900000045645021,900000045645005,1.218,
石家庄地铁,轨道交通3号线,市二中,新百广场,900000045645005,900000044039006,1.054,
石家庄地铁,轨道交通3号线,新百广场,东里,900000044039006,900000045645007,0.716,
石家庄地铁,轨道交通3号线,东里,槐安桥,900000045645007,900000045645008,1.002,
石家庄地铁,轨道交通3号线,槐安桥,西三教,900000045645008,900000045645009,1.223,
石家庄地铁,轨道交通3号线,西三教,石家庄站,900000045645009,900000045645010,1.107,
石家庄地铁,轨道交通3号线,石家庄站,汇通路,900000045645010,900000045645022,1.263,
石家庄地铁,轨道交通3号线,汇通路,孙村,900000045645022,900000045645023,1.03,
石家庄地铁,轨道交通3号线,孙村,塔冢,900000045645023,900000045645024,0.975,
石家庄地铁,轨道交通3号线,塔冢,东王,900000045645024,900000045645025,0.885,
石家庄地铁,轨道交通3号线,东王,南王,900000045645025,900000045645026,1.108,
石家庄地铁,轨道交通3号线,南王,位同,900000045645026,900000045645027,1.456,
石家庄地铁,轨道交通3号线,位同,东二环南路,900000045645027,900000045645028,1.288,
石家庄地铁,轨道交通3号线,东二环南路,西仰陵,900000045645028,900000045645029,1.442,
石家庄地铁,轨道交通3号线,西仰陵,中仰陵,900000045645029,900000045645030,1.343,
石家庄地铁,轨道交通3号线,中仰陵,南豆,900000045645030,900000045645031,0.963,
石家庄地铁,轨道交通3号线,南豆,太行南大街,900000045645031,900000045645032,1.51,
石家庄地铁,轨道交通3号线,太行南大街,乐乡,900000045645032,900000045645033,1.903,
