系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
苏州轨道交通,轨道交通5号线,阳澄湖南,葑亭大道,900000055756034,900000039926002,1.791,
苏州轨道交通,轨道交通5号线,葑亭大道,东沙湖,900000039926002,900000055756032,2.671,
苏州轨道交通,轨道交通5号线,东沙湖,龙墩,900000055756032,900000055756031,1.485,
苏州轨道交通,轨道交通5号线,龙墩,星塘街,900000055756031,320500022828024,1.155,
苏州轨道交通,轨道交通5号线,星塘街,方洲公园,320500022828024,900000055756029,0.919,
苏州轨道交通,轨道交通5号线,方洲公园,苏州奥体中心,900000055756029,900000055756028,0.996,
苏州轨道交通,轨道交通5号线,苏州奥体中心,斜塘,900000055756028,900000055756027,1.392,
苏州轨道交通,轨道交通5号线,斜塘,华莲,900000055756027,900000055756026,0.935,
苏州轨道交通,轨道交通5号线,华莲,金湖,900000055756026,900000055756025,1.499,
苏州轨道交通,轨道交通5号线,金湖,李公堤南,900000055756025,900000055756024,1.253,
苏州轨道交通,轨道交通5号线,李公堤南,星波街,900000055756024,900000055756023,0.921,
苏州轨道交通,轨道交通5号线,星波街,金厍桥,900000055756023,900000039926012,0.726,
苏州轨道交通,轨道交通5号线,金厍桥,黄天荡,900000039926012,900000055756021,1.39,
苏州轨道交通,轨道交通5号线,黄天荡,荷花荡,900000055756021,900000055756020,0.636,
苏州轨道交通,轨道交通5号线,荷花荡,竹辉桥,900000055756020,900000055756019,1.066,
苏州轨道交通,轨道交通5号线,竹辉桥,南园北路,900000055756019,900000055756018,1.129,
苏州轨道交通,轨道交通5号线,南园北路,南门,900000055756018,320500022810013,0.949,
苏州轨道交通,轨道交通5号线,南门,新市桥,320500022810013,900000055756016,1.355,
苏州轨道交通,轨道交通5号线,新市桥,劳动路,900000055756016,320500022816009,1.269,
苏州轨道交通,轨道交通5号线,劳动路,双桥,320500022816009,900000055756014,0.965,
苏州轨道交通,轨道交通5号线,双桥,索山桥西,900000055756014,900000039926036,1.63,
苏州轨道交通,轨道交通5号线,索山桥西,落星桥,900000039926036,900000055756012,1.219,
苏州轨道交通,轨道交通5号线,落星桥,石城,900000055756012,900000055756011,1.105,
苏州轨道交通,轨道交通5号线,石城,西跨塘,900000055756011,900000055756010,1.261,
苏州轨道交通,轨道交通5号线,西跨塘,大治桥,900000055756010,900000055756009,1.084,
苏州轨道交通,轨道交通5号线,大治桥,渎川桥,900000055756009,900000055756008,1.602,
苏州轨道交通,轨道交通5号线,渎川桥,灵岩山,900000055756008,900000055756007,1.702,
苏州轨道交通,轨道交通5号线,灵岩山,许家桥,900000055756007,900000055756006,0.639,
苏州轨道交通,轨道交通5号线,许家桥,茅蓬路东,900000055756006,900000055756005,0.86,
苏州轨道交通,轨道交通5号线,茅蓬路东,胥口,900000055756005,900000055756004,1.281,
苏州轨道交通,轨道交通5号线,胥口,津桥,900000055756004,900000055756003,1.192,
苏州轨道交通,轨道交通5号线,津桥,花墩,900000055756003,900000055756002,0.913,
苏州轨道交通,轨道交通5号线,花墩,太湖香山,900000055756002,900000055756001,1.224,
