系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
天津地铁,地铁9号线,东海路,会展中心,120100031870020,120100031870019,1.272,
天津地铁,地铁9号线,会展中心,太湖路,120100031870019,120100031870022,1.331,
天津地铁,地铁9号线,太湖路,市民广场,120100031870022,120100031870018,1.768,
天津地铁,地铁9号线,市民广场,泰达,120100031870018,120100031870017,2.203,
天津地铁,地铁9号线,泰达,塘沽,120100031870017,120100031870016,1.645,
天津地铁,地铁9号线,塘沽,胡家园,120100031870016,120100031870015,4.794,
天津地铁,地铁9号线,胡家园,钢管公司,120100031870015,120100031870014,8.938,
天津地铁,地铁9号线,钢管公司,军粮城,120100031870014,120100031870013,4.228,
天津地铁,地铁9号线,军粮城,小东庄,120100031870013,120100031870012,4.905,
天津地铁,地铁9号线,小东庄,东丽开发区,120100031870012,120100031870011,4.301,
天津地铁,地铁9号线,东丽开发区,新立,120100031870011,120100031870010,1.984,
天津地铁,地铁9号线,新立,张贵庄,120100031870010,120100031870021,2.531,
天津地铁,地铁9号线,张贵庄,二号桥,120100031870021,120100031870009,1.31,
天津地铁,地铁9号线,二号桥,一号桥,120100031870009,120100031870008,0.886,
天津地铁,地铁9号线,一号桥,中山门,120100031870008,120100031870007,1.694,
天津地铁,地铁9号线,中山门,东兴路,120100031870007,120100031870006,1.898,
天津地铁,地铁9号线,东兴路,直沽,120100031870006,120100021323020,1.126,
天津地铁,地铁9号线,直沽,十一经路,120100021323020,120100031870004,1.438,
天津地铁,地铁9号线,十一经路,大王庄,120100031870004,120100031870003,0.804,
天津地铁,地铁9号线,大王庄,天津站,120100031870003,120100021500012,1.312,
