系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
武汉地铁,轨道交通21号线(阳逻线),后湖大道,百步亭花园路,420100024331004,900000075739018,1.178,
武汉地铁,轨道交通21号线(阳逻线),百步亭花园路,新荣,900000075739018,420100034364026,1.691,
武汉地铁,轨道交通21号线(阳逻线),新荣,幸福湾,420100034364026,900000075739020,1.944,
武汉地铁,轨道交通21号线(阳逻线),幸福湾,朱家河,900000075739020,900000075739021,2.16,
武汉地铁,轨道交通21号线(阳逻线),朱家河,谌家矶,900000075739021,900000075739022,0.909,
武汉地铁,轨道交通21号线(阳逻线),谌家矶,青龙,900000075739022,900000075739023,2.915,
武汉地铁,轨道交通21号线(阳逻线),青龙,高车,900000075739023,900000075739024,1.998,
武汉地铁,轨道交通21号线(阳逻线),高车,武湖,900000075739024,900000075739025,2.132,
武汉地铁,轨道交通21号线(阳逻线),武湖,沙口,900000075739025,900000075739026,4.571,
武汉地铁,轨道交通21号线(阳逻线),沙口,军民村,900000075739026,900000075739027,3.586,
武汉地铁,轨道交通21号线(阳逻线),军民村,武生院,900000075739027,900000075739028,1.014,
武汉地铁,轨道交通21号线(阳逻线),武生院,阳逻,900000075739028,900000075739029,2.671,
武汉地铁,轨道交通21号线(阳逻线),阳逻,阳逻开发区,900000075739029,900000075739030,1.425,
武汉地铁,轨道交通21号线(阳逻线),阳逻开发区,施岗,900000075739030,900000075739031,3.21,
武汉地铁,轨道交通21号线(阳逻线),施岗,金台,900000075739031,900000075739032,1.926,
