系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
无锡地铁,地铁3号线,苏庙,0.0,0.0,120.216060,31.596784,320200021052009,,
无锡地铁,地铁3号线,钱桥,1.29,1.29,120.229675,31.596498,320200021052010,,
无锡地铁,地铁3号线,龙山梢,1.417,2.707,120.244015,31.600118,320200021052011,,
无锡地铁,地铁3号线,石门路,1.46,4.167,120.259095,31.597377,320200021052012,,
无锡地铁,地铁3号线,盛岸,1.16,5.327,120.269806,31.592325,320200021052013,,
无锡地铁,地铁3号线,吴桥,1.493,6.82,120.285481,31.593777,320200021052014,,
无锡地铁,地铁3号线,北栅口,1.143,7.963,120.297117,31.591040,320200021052015,,
无锡地铁,地铁3号线,无锡火车站,0.932,8.895,120.306767,31.589407,320200021052016,,
无锡地铁,地铁3号线,广瑞,1.197,10.092,120.319391,31.588852,320200021052017,,
无锡地铁,地铁3号线,靖海,1.21,11.302,120.330414,31.583353,320200021052030,,
无锡地铁,地铁3号线,东风,1.109,12.411,120.332308,31.573515,320200021052019,,
无锡地铁,地铁3号线,叙丰,0.93,13.341,120.337155,31.566238,320200021052020,,
无锡地铁,地铁3号线,太湖花园,1.028,14.369,120.343983,31.559049,320200021052021,,
无锡地铁,地铁3号线,新光路,1.34,15.709,120.352475,31.549408,320200021052022,,
无锡地铁,地铁3号线,旺庄路,0.955,16.664,120.357816,31.542129,320200021052023,,
无锡地铁,地铁3号线,黄山路,1.79,18.454,120.369864,31.529726,320200021052024,,
无锡地铁,地铁3号线,高浪东路,0.921,19.375,120.376048,31.523336,320200021052032,,
无锡地铁,地铁3号线,周泾巷,1.4,20.775,120.385582,31.513717,320200021052033,,
无锡地铁,地铁3号线,无锡新区站,1.711,22.486,120.392141,31.499378,320200021052034,,
无锡地铁,地铁3号线,长江南路,1.074,23.56,120.403221,31.497390,320200021052026,,
无锡地铁,地铁3号线,硕放机场,2.678,26.238,120.430807,31.502584,320200021052027,,
