系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
郑州地铁,地铁8号线,天健湖,轻工业大学,900000139439001,900000139439002,2.484,
郑州地铁,地铁8号线,轻工业大学,祥营,900000139439002,900000139439003,1.666,
郑州地铁,地铁8号线,祥营,郑州大学,900000139439003,410100022629026,1.581,
郑州地铁,地铁8号线,郑州大学,银屏路,410100022629026,900000139439005,1.793,
郑州地铁,地铁8号线,银屏路,冬青街,900000139439005,900000139439006,1.022,
郑州地铁,地铁8号线,冬青街,南流,900000139439006,900000139439007,1.41,
郑州地铁,地铁8号线,南流,大学科技园,900000139439007,900000139439008,2.382,
郑州地铁,地铁8号线,大学科技园,五龙口,900000139439008,900000139439009,0.801,
郑州地铁,地铁8号线,五龙口,同乐,900000139439009,900000075776004,2.137,
郑州地铁,地铁8号线,同乐,省中医院,900000075776004,900000139439011,1.25,
郑州地铁,地铁8号线,省中医院,白庙,900000139439011,900000080953007,1.635,
郑州地铁,地铁8号线,白庙,东风路,900000080953007,410100021064006,1.476,
郑州地铁,地铁8号线,东风路,枣庄,410100021064006,900000139439014,1.162,
郑州地铁,地铁8号线,枣庄,小营,900000139439014,900000090761035,2.274,
郑州地铁,地铁8号线,小营,龙湖中环南,900000090761035,900000075797016,1.803,
郑州地铁,地铁8号线,龙湖中环南,郑大一附院东区,900000075797016,900000139439017,2.279,
郑州地铁,地铁8号线,郑大一附院东区,高铁公园,900000139439017,900000139439018,1.137,
郑州地铁,地铁8号线,高铁公园,畅和街,900000139439018,900000139439019,1.32,
郑州地铁,地铁8号线,畅和街,郑州东站,900000139439019,410100022629004,2.318,
郑州地铁,地铁8号线,郑州东站,圃田西,410100022629004,900000075776020,2.425,
郑州地铁,地铁8号线,圃田西,圃田,900000075776020,900000139439022,2.552,
郑州地铁,地铁8号线,圃田,省社科院,900000139439022,900000139439023,3.024,
郑州地铁,地铁8号线,省社科院,福泽路,900000139439023,900000139439024,1.802,
郑州地铁,地铁8号线,福泽路,李湖桥,900000139439024,900000139439025,1.285,
郑州地铁,地铁8号线,李湖桥,龙王庙,900000139439025,900000139439026,1.821,
郑州地铁,地铁8号线,龙王庙,绿博园,900000139439026,900000139439027,2.483,
郑州地铁,地铁8号线,绿博园,鲁庙,900000139439027,900000139439028,1.687,
