系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
北京地铁,亦庄有轨电车T1线,T1_LINE_INTERNAL,屈庄,融兴街,T1_屈庄,T1_融兴街,0.801,2020
北京地铁,亦庄有轨电车T1线,T1_LINE_INTERNAL,融兴街,瑞合庄,T1_融兴街,T1_瑞合庄,0.802,2020
北京地铁,亦庄有轨电车T1线,T1_LINE_INTERNAL,瑞合庄,太和桥北,T1_瑞合庄,T1_太和桥北,1.375,2020
北京地铁,亦庄有轨电车T1线,T1_LINE_INTERNAL,太和桥北,四海庄,T1_太和桥北,T1_四海庄,0.638,2020
北京地铁,亦庄有轨电车T1线,T1_LINE_INTERNAL,四海庄,九号村,T1_四海庄,T1_九号村,0.993,2020
北京地铁,亦庄有轨电车T1线,T1_LINE_INTERNAL,九号村,泰河路,T1_九号村,T1_泰河路,0.606,2020
北京地铁,亦庄有轨电车T1线,T1_LINE_INTERNAL,泰河路,鹿圈东,T1_泰河路,T1_鹿圈东,0.739,2020
北京地铁,亦庄有轨电车T1线,T1_LINE_INTERNAL,鹿圈东,亦庄同仁,T1_鹿圈东,T1_亦庄同仁,1.228,2020
北京地铁,亦庄有轨电车T1线,T1_LINE_INTERNAL,亦庄同仁,荣昌东街,T1_亦庄同仁,T1_荣昌东街,0.604,2020
北京地铁,亦庄有轨电车T1线,T1_LINE_INTERNAL,荣昌东街,亦创会展中心,T1_荣昌东街,T1_亦创会展中心,0.608,2020
北京地铁,亦庄有轨电车T1线,T1_LINE_INTERNAL,亦创会展中心,经海一路,T1_亦创会展中心,T1_经海一路,1.368,2020
北京地铁,亦庄有轨电车T1线,T1_LINE_INTERNAL,经海一路,定海园西,T1_经海一路,T1_定海园西,1.257,2020
北京地铁,亦庄有轨电车T1线,T1_LINE_INTERNAL,定海园西,定海园,T1_定海园西,T1_定海园,0.88,2020
