系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
北京地铁,地铁14号线,900000028907,善各庄,来广营,900000028907001,900000028907002,1.212,
北京地铁,地铁14号线,900000028907,来广营,东湖渠,900000028907002,900000028907003,1.097,
北京地铁,地铁14号线,900000028907,东湖渠,望京,900000028907003,110100023070003,1.35,
北京地铁,地铁14号线,900000028907,望京,阜通,110100023070003,900000028907005,0.765,
北京地铁,地铁14号线,900000028907,阜通,望京南,900000028907005,900000028907006,1.188,
北京地铁,地铁14号线,900000028907,望京南,将台,900000028907006,900000028907008,1.675,
北京地铁,地铁14号线,900000028907,将台,东风北桥,900000028907008,900000028907009,1.454,
北京地铁,地铁14号线,900000028907,东风北桥,枣营,900000028907009,900000028907010,1.839,
北京地铁,地铁14号线,900000028907,枣营,朝阳公园,900000028907010,900000028907011,1.217,
北京地铁,地铁14号线,900000028907,朝阳公园,金台路,900000028907011,110100023339008,1.105,
北京地铁,地铁14号线,900000028907,金台路,大望路,110100023339008,110100023110022,1.709,
北京地铁,地铁14号线,900000028907,大望路,九龙山,110100023110022,110100023054014,1.697,
北京地铁,地铁14号线,900000028907,九龙山,平乐园,110100023054014,900000028907016,0.892,
北京地铁,地铁14号线,900000028907,平乐园,北工大西门,900000028907016,900000028907017,1.11,
北京地铁,地铁14号线,900000028907,北工大西门,十里河,900000028907017,110100023282025,1.928,
北京地铁,地铁14号线,900000028907,十里河,方庄,110100023282025,900000028907020,1.525,
北京地铁,地铁14号线,900000028907,方庄,蒲黄榆,900000028907020,110100023100003,1.465,
北京地铁,地铁14号线,900000028907,蒲黄榆,景泰,110100023100003,900000028907022,1.03,
北京地铁,地铁14号线,900000028907,景泰,永定门外,900000028907022,110100023114031,1.024,
北京地铁,地铁14号线,900000028907,永定门外,北京南站,110100023114031,110100023076022,1.762,
北京地铁,地铁14号线,900000028907,北京南站,景风门,110100023076022,900000028907026,1.135,
北京地铁,地铁14号线,900000028907,景风门,西铁营,900000028907026,900000028907027,0.872,
北京地铁,地铁14号线,900000028907,西铁营,菜户营,900000028907027,900000028907028,1.347,
北京地铁,地铁14号线,900000028907,菜户营,丽泽商务区,900000028907028,900000028907029,0.954,
北京地铁,地铁14号线,900000028907,丽泽商务区,东管头,900000028907029,900000028907030,0.86,
北京地铁,地铁14号线,900000028907,东管头,西局,900000028907030,110100023282038,1.462,
北京地铁,地铁14号线,900000028907,西局,七里庄,110100023282038,110100023116007,0.838,
北京地铁,地铁14号线,900000028907,七里庄,大井,110100023116007,900000028907033,1.568,
北京地铁,地铁14号线,900000028907,大井,郭庄子,900000028907033,900000028907034,1.963,
北京地铁,地铁14号线,900000028907,郭庄子,大瓦窑,900000028907034,900000028907035,1.229,
北京地铁,地铁14号线,900000028907,大瓦窑,园博园,900000028907035,900000028907036,3.321,
北京地铁,地铁14号线,900000028907,园博园,张郭庄,900000028907036,900000028907037,1.285,
