系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
北京地铁,地铁昌平线,110100023118,昌平西山口,十三陵景区,110100023118009,110100023118010,1.156,
北京地铁,地铁昌平线,110100023118,十三陵景区,昌平,110100023118010,110100023118011,3.102,
北京地铁,地铁昌平线,110100023118,昌平,昌平东关,110100023118011,110100023118012,2.421,
北京地铁,地铁昌平线,110100023118,昌平东关,北邵洼,110100023118012,110100023118013,1.689,
北京地铁,地铁昌平线,110100023118,北邵洼,南邵,110100023118013,110100023118002,1.682,
北京地铁,地铁昌平线,110100023118,南邵,沙河高教园,110100023118002,110100023118003,4.8,
北京地铁,地铁昌平线,110100023118,沙河高教园,沙河,110100023118003,110100023118004,1.957,
北京地铁,地铁昌平线,110100023118,沙河,巩华城,110100023118004,110100023118005,1.981,
北京地铁,地铁昌平线,110100023118,巩华城,朱辛庄,110100023118005,110100023114019,3.4,
北京地铁,地铁昌平线,110100023118,朱辛庄,生命科学园,110100023114019,110100023118007,1.965,
北京地铁,地铁昌平线,110100023118,生命科学园,西二旗,110100023118007,110100023118008,4.755,
北京地铁,地铁昌平线,110100023118,西二旗,清河站,110100023118008,110100023118014,1.512,
北京地铁,地铁昌平线,110100023118,清河站,朱房北,110100023118014,110100023118015,1.539,
北京地铁,地铁昌平线,110100023118,朱房北,清河小营桥,110100023118015,110100023118016,1.033,
北京地铁,地铁昌平线,110100023118,清河小营桥,学知园,110100023118016,110100023118017,2.307,
北京地铁,地铁昌平线,110100023118,学知园,六道口,110100023118017,110100023070016,1.665,
北京地铁,地铁昌平线,110100023118,六道口,学院桥,110100023070016,110100023118019,1.318,
北京地铁,地铁昌平线,110100023118,学院桥,西土城,110100023118019,110100023118020,1.318,
北京地铁,地铁昌平线,110100023118,西土城,蓟门桥,110100023118020,110100023118022,0.969,
