系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
长春轨道交通,轨道交通3号线,220100030615,伪满皇宫,0.0,0.0,125.352451,43.906613,220100020886004,,
长春轨道交通,轨道交通3号线,220100030615,东广场,1.072,1.072,125.339476,43.908971,220100030615036,,
长春轨道交通,轨道交通3号线,220100030615,长春站,1.4,2.472,125.322008,43.909300,220100020890006,,
长春轨道交通,轨道交通3号线,220100030615,芙蓉桥,1.222,3.694,125.308055,43.904862,220100030615037,,
长春轨道交通,轨道交通3号线,220100030615,西安桥,1.249,4.943,125.300408,43.895069,220100030615005,,
长春轨道交通,轨道交通3号线,220100030615,南昌路,0.553,5.496,125.297275,43.890639,220100030615006,,
长春轨道交通,轨道交通3号线,220100030615,朝阳桥,0.743,6.239,125.292945,43.884733,220100030615007,,
长春轨道交通,轨道交通3号线,220100030615,解放桥,1.01,7.249,125.287330,43.876606,220100030615008,,
长春轨道交通,轨道交通3号线,220100030615,湖西桥,0.889,8.138,125.282278,43.869490,220100030615009,,
长春轨道交通,轨道交通3号线,220100030615,宽平桥,1.008,9.146,125.274103,43.862603,220100030615010,,
长春轨道交通,轨道交通3号线,220100030615,抚松路,0.696,9.842,125.268338,43.857929,220100030615011,,
长春轨道交通,轨道交通3号线,220100030615,孟家屯,0.914,10.756,125.261858,43.851164,220100030615012,,
长春轨道交通,轨道交通3号线,220100030615,湖光路,0.84,11.596,125.266565,43.844416,220100030615013,,
长春轨道交通,轨道交通3号线,220100030615,电台街,1.571,13.167,125.278424,43.833172,220100030615014,,
长春轨道交通,轨道交通3号线,220100030615,前进西,0.69,13.857,125.286928,43.832210,220100030615015,,
长春轨道交通,轨道交通3号线,220100030615,前进大街,0.518,14.375,125.293389,43.832251,220100030615016,,
长春轨道交通,轨道交通3号线,220100030615,卫明街,0.756,15.131,125.302816,43.832443,220100030615017,,
长春轨道交通,轨道交通3号线,220100030615,卫光街,1.017,16.148,125.315498,43.832610,220100030615018,,
长春轨道交通,轨道交通3号线,220100030615,卫星广场,0.829,16.977,125.325828,43.832692,220100020890013,,
长春轨道交通,轨道交通3号线,220100030615,亚泰立交桥,1.09,18.067,125.339420,43.832594,220100030615020,,
长春轨道交通,轨道交通3号线,220100030615,伊通河,0.858,18.925,125.350101,43.832951,220100030615021,,
长春轨道交通,轨道交通3号线,220100030615,职业学院,1.309,20.234,125.366424,43.833026,220100020886013,,
长春轨道交通,轨道交通3号线,220100030615,吉林广电,1.056,21.29,125.379588,43.833290,220100030615023,,
长春轨道交通,轨道交通3号线,220100030615,会展中心,0.906,22.196,125.390878,43.833404,220100030615024,,
长春轨道交通,轨道交通3号线,220100030615,世纪广场,1.013,23.209,125.402731,43.836561,220100030615025,,
长春轨道交通,轨道交通3号线,220100030615,金鑫街,1.489,24.698,125.421064,43.834456,220100030615026,,
长春轨道交通,轨道交通3号线,220100030615,博硕路,0.838,25.536,125.429246,43.829773,220100030615027,,
长春轨道交通,轨道交通3号线,220100030615,金河街,1.195,26.731,125.439225,43.821796,220100030615028,,
长春轨道交通,轨道交通3号线,220100030615,农博园,0.94,27.671,125.444902,43.814396,220100030615029,,
长春轨道交通,轨道交通3号线,220100030615,净月潭公园,1.287,28.958,125.450897,43.803659,220100030615030,,
长春轨道交通,轨道交通3号线,220100030615,紫杉路,1.474,30.432,125.440356,43.792804,220100030615031,,
长春轨道交通,轨道交通3号线,220100030615,宝相街,0.851,31.283,125.440254,43.785152,220100030615032,,
长春轨道交通,轨道交通3号线,220100030615,滑雪场,1.207,32.49,125.449544,43.776619,220100030615033,,
长春轨道交通,轨道交通3号线,220100030615,长影世纪城,0.539,33.029,125.450379,43.771809,220100030615034,,
