系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
长沙地铁,地铁2号线,430100020927,梅溪湖西,0.0,0.0,112.881887,28.185907,430100020927021,,
长沙地铁,地铁2号线,430100020927,麓云路,1.138,1.138,112.892059,28.190840,430100020927022,,
长沙地铁,地铁2号线,430100020927,文化艺术中心,1.05,2.188,112.900472,28.196690,430100020927023,,
长沙地铁,地铁2号线,430100020927,梅溪湖东,0.937,3.125,112.908183,28.201674,430100020927024,,
长沙地铁,地铁2号线,430100020927,望城坡(汽车西站),0.842,3.967,112.913704,28.207479,430100020927002,,
长沙地铁,地铁2号线,430100020927,金星路,1.469,5.436,112.928603,28.206047,430100020927003,,
长沙地铁,地铁2号线,430100020927,西湖公园,1.173,6.609,112.939929,28.202632,430100020927004,,
长沙地铁,地铁2号线,430100020927,溁湾镇,1.258,7.867,112.951436,28.197614,430100020927005,,
长沙地铁,地铁2号线,430100020927,橘子洲·青莲,1.109,8.976,112.962520,28.195601,430100020927006,,
长沙地铁,地铁2号线,430100020927,湘江中路,0.672,9.648,112.969365,28.195218,430100020927007,,
长沙地铁,地铁2号线,430100020927,五一广场,0.693,10.341,112.976433,28.195317,430100020925008,,
长沙地铁,地铁2号线,430100020927,芙蓉广场,0.808,11.149,112.984666,28.194886,430100020927009,,
长沙地铁,地铁2号线,430100020927,迎宾路口,0.737,11.886,112.992188,28.194793,430100020927010,,
长沙地铁,地铁2号线,430100020927,袁家岭,0.83,12.716,113.000651,28.194545,430100020927011,,
长沙地铁,地铁2号线,430100020927,长沙火车站,1.018,13.734,113.010987,28.193633,430100020927012,,
长沙地铁,地铁2号线,430100020927,锦泰广场,0.676,14.41,113.017587,28.191855,430100020927013,,
长沙地铁,地铁2号线,430100020927,万家丽广场,1.236,15.646,113.030191,28.191546,430100020927014,,
长沙地铁,地铁2号线,430100020927,人民东路,1.17,16.816,113.038701,28.184163,430100020927015,,
长沙地铁,地铁2号线,430100020927,长沙大道,1.852,18.668,113.044480,28.168306,430100020927016,,
长沙地铁,地铁2号线,430100020927,沙湾公园,1.183,19.851,113.044896,28.157673,430100020927017,,
长沙地铁,地铁2号线,430100020927,杜花路,1.695,21.546,113.056471,28.146351,430100020927018,,
长沙地铁,地铁2号线,430100020927,长沙火车南站,0.859,22.405,113.065216,28.146879,430100020927019,,
长沙地铁,地铁2号线,430100020927,光达,1.951,24.356,113.085035,28.148484,430100020927020,,
