系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
长沙地铁,地铁5号线,900000066175,水渡河,土桥,900000066175001,900000066175002,1.945,
长沙地铁,地铁5号线,900000066175,土桥,白茅铺,900000066175002,900000066175003,1.662,
长沙地铁,地铁5号线,900000066175,白茅铺,月湖公园北,900000066175003,900000065929019,1.132,
长沙地铁,地铁5号线,900000066175,月湖公园北,马栏山,900000065929019,900000066175005,1.226,
长沙地铁,地铁5号线,900000066175,马栏山,鸭子铺,900000066175005,900000066175006,0.87,
长沙地铁,地铁5号线,900000066175,鸭子铺,火炬村,900000066175006,900000066175007,1.904,
长沙地铁,地铁5号线,900000066175,火炬村,马王堆,900000066175007,900000066175008,0.935,
长沙地铁,地铁5号线,900000066175,马王堆,万家丽广场,900000066175008,430100020927014,0.948,
长沙地铁,地铁5号线,900000066175,万家丽广场,芙蓉区政府,430100020927014,900000066175010,0.693,
长沙地铁,地铁5号线,900000066175,芙蓉区政府,高桥北,900000066175010,900000066175011,1.015,
长沙地铁,地铁5号线,900000066175,高桥北,高桥南,900000066175011,900000066175012,1.018,
长沙地铁,地铁5号线,900000066175,高桥南,圭塘,900000066175012,900000066167019,1.069,
长沙地铁,地铁5号线,900000066175,圭塘,木桥,900000066167019,900000066175014,0.979,
长沙地铁,地铁5号线,900000066175,木桥,雨花区政府,900000066175014,900000066175015,1.306,
长沙地铁,地铁5号线,900000066175,雨花区政府,大塘,900000066175015,900000066175016,0.744,
长沙地铁,地铁5号线,900000066175,大塘,板塘冲,900000066175016,900000066175017,1.663,
长沙地铁,地铁5号线,900000066175,板塘冲,毛竹塘,900000066175017,900000066175018,2.38,
