系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
常州地铁,地铁1号线,900000045578,森林公园,0.0,0.0,119.965162,31.900255,900000045578001,,
常州地铁,地铁1号线,900000045578,新龙,1.475,1.475,119.961188,31.887428,900000045578002,,
常州地铁,地铁1号线,900000045578,旅游学校,1.515,2.99,119.957627,31.874140,900000045578003,,
常州地铁,地铁1号线,900000045578,新桥,1.267,4.257,119.954461,31.863066,900000045578004,,
常州地铁,地铁1号线,900000045578,常州北站,0.916,5.173,119.955802,31.854907,900000045578005,,
常州地铁,地铁1号线,900000045578,北郊中学,1.119,6.292,119.967604,31.854070,900000045578006,,
常州地铁,地铁1号线,900000045578,外国语学校,0.941,7.233,119.977030,31.851318,900000045578007,,
常州地铁,地铁1号线,900000045578,环球港,1.362,8.595,119.980700,31.839471,900000045578008,,
常州地铁,地铁1号线,900000045578,新区公园,1.369,9.964,119.986685,31.828262,900000045578009,,
常州地铁,地铁1号线,900000045578,河海,0.896,10.86,119.985403,31.820278,900000045578010,,
常州地铁,地铁1号线,900000045578,奥体中心,1.077,11.937,119.981639,31.811139,900000045578011,,
常州地铁,地铁1号线,900000045578,市民广场,1.111,13.048,119.975098,31.802834,900000045578012,,
常州地铁,地铁1号线,900000045578,翠竹,1.087,14.135,119.976387,31.793121,900000045578013,,
常州地铁,地铁1号线,900000045578,常州火车站,0.72,14.855,119.974248,31.786908,900000045578014,,
常州地铁,地铁1号线,900000045578,博爱路,0.752,15.607,119.968342,31.782383,900000045578015,,
常州地铁,地铁1号线,900000045578,文化宫,0.76,16.367,119.964804,31.776241,900000045578016,,
常州地铁,地铁1号线,900000045578,同济桥,0.912,17.279,119.961775,31.768455,900000045578017,,
常州地铁,地铁1号线,900000045578,清凉寺,0.872,18.151,119.960145,31.760740,900000045578018,,
常州地铁,地铁1号线,900000045578,茶山,1.227,19.378,119.957199,31.749989,900000045578019,,
常州地铁,地铁1号线,900000045578,聚湖路,1.888,21.266,119.948957,31.734522,900000045578020,,
常州地铁,地铁1号线,900000045578,湖塘,1.349,22.615,119.948983,31.722391,900000045578021,,
常州地铁,地铁1号线,900000045578,新天地公园,1.114,23.729,119.948741,31.712376,900000045578022,,
常州地铁,地铁1号线,900000045578,长虹路,0.736,24.465,119.948525,31.705759,900000045578023,,
常州地铁,地铁1号线,900000045578,延政大道,0.88,25.345,119.948253,31.697849,900000045578024,,
常州地铁,地铁1号线,900000045578,科教城北,1.089,26.434,119.947862,31.688058,900000045578025,,
常州地铁,地铁1号线,900000045578,科教城南,1.523,27.957,119.947474,31.674368,900000045578026,,
常州地铁,地铁1号线,900000045578,武进沿江城际,1.644,29.601,119.948635,31.659620,900000045578027,,
常州地铁,地铁1号线,900000045578,阳湖路,1.581,31.182,119.950947,31.645542,900000045578028,,
常州地铁,地铁1号线,900000045578,南夏墅,1.478,32.66,119.952064,31.632282,900000045578029,,
