系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
成都地铁,地铁1号线,900000071951,科学城,0.0,0.0,104.072328,30.391243,900000071951012,,
成都地铁,地铁1号线,900000071951,兴隆湖,1.6,1.6,104.076412,30.405196,900000071951011,,
成都地铁,地铁1号线,900000071951,广州路,1.539,3.139,104.077269,30.419021,900000071951010,,
成都地铁,地铁1号线,900000071951,西博城,0.653,3.792,104.074399,30.424349,900000061908045,,
成都地铁,地铁1号线,900000071951,天府公园,1.012,4.804,104.077748,30.432976,900000071951008,,
成都地铁,地铁1号线,900000071951,武汉路,1.067,5.871,104.072910,30.441619,900000071951007,,
成都地铁,地铁1号线,900000071951,麓湖,1.436,7.307,104.073293,30.454527,900000071951006,,
成都地铁,地铁1号线,900000071951,红石公园,1.082,8.389,104.073007,30.464257,900000071951005,,
成都地铁,地铁1号线,900000071951,广福,1.644,10.033,104.069325,30.478693,900000071951004,,
成都地铁,地铁1号线,900000071951,海昌路,1.581,11.614,104.071583,30.492778,900000068815005,,
成都地铁,地铁1号线,900000071951,华阳,1.16,12.774,104.070521,30.503167,900000071951002,,
成都地铁,地铁1号线,900000071951,四河,1.442,14.216,104.070125,30.516133,510100022320022,,
成都地铁,地铁1号线,900000071951,华府大道,1.069,15.285,104.069836,30.525746,510100022320021,,
成都地铁,地铁1号线,900000071951,天府五街,1.264,16.549,104.069510,30.537107,510100022320020,,
成都地铁,地铁1号线,900000071951,天府三街,1.012,17.561,104.069204,30.546203,510100022320019,,
成都地铁,地铁1号线,900000071951,世纪城,0.964,18.525,104.068930,30.554870,510100022320018,,
成都地铁,地铁1号线,900000071951,锦城广场,1.447,19.972,104.066528,30.567722,510100022320017,,
成都地铁,地铁1号线,900000071951,孵化园,0.931,20.903,104.064313,30.575873,510100022320016,,
成都地铁,地铁1号线,900000071951,金融城,0.746,21.649,104.064147,30.582579,510100022320015,,
成都地铁,地铁1号线,900000071951,高新,1.311,22.96,104.063847,30.594368,510100022320014,,
成都地铁,地铁1号线,900000071951,火车南站,1.279,24.239,104.067393,30.605459,510100022320013,,
成都地铁,地铁1号线,900000071951,桐梓林,1.096,25.335,104.067115,30.615310,510100022320012,,
成都地铁,地铁1号线,900000071951,倪家桥,1.052,26.387,104.066885,30.624773,510100022320011,,
成都地铁,地铁1号线,900000071951,省体育馆,0.955,27.342,104.066606,30.633361,510100022320010,,
成都地铁,地铁1号线,900000071951,华西坝,1.052,28.394,104.066279,30.642821,510100022320009,,
成都地铁,地铁1号线,900000071951,锦江宾馆,0.804,29.198,104.066053,30.650046,510100022320008,,
成都地铁,地铁1号线,900000071951,天府广场,0.789,29.987,104.065891,30.657141,510100022320007,,
成都地铁,地铁1号线,900000071951,骡马市,1.043,31.03,104.065617,30.666514,510100022320006,,
成都地铁,地铁1号线,900000071951,文殊院,0.708,31.738,104.068036,30.672535,510100022320005,,
成都地铁,地铁1号线,900000071951,人民北路,1.449,33.187,104.073056,30.684833,510100022320004,,
成都地铁,地铁1号线,900000071951,火车北站,1.192,34.379,104.074056,30.695517,510100022320003,,
成都地铁,地铁1号线,900000071951,升仙湖,1.355,35.734,104.083474,30.704625,510100022320002,,
成都地铁,地铁1号线,900000071951,韦家碾,1.483,37.217,104.086860,30.717644,510100022320024,,
