系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
重庆轨道交通,轨道交通4号线,900000070644,黄岭,石船,900000070644010,900000070644011,1.561,
重庆轨道交通,轨道交通4号线,900000070644,石船,桐梓林,900000070644011,900000070644012,2.623,
重庆轨道交通,轨道交通4号线,900000070644,桐梓林,普福,900000070644012,900000070644013,1.853,
重庆轨道交通,轨道交通4号线,900000070644,普福,高石塔,900000070644013,900000070644014,1.959,
重庆轨道交通,轨道交通4号线,900000070644,高石塔,龙兴,900000070644014,900000070644015,1.09,
重庆轨道交通,轨道交通4号线,900000070644,龙兴,龙驿大道,900000070644015,900000070644016,1.517,
重庆轨道交通,轨道交通4号线,900000070644,龙驿大道,三板溪,900000070644016,900000070644017,2.441,
重庆轨道交通,轨道交通4号线,900000070644,三板溪,复盛,900000070644017,900000070644018,1.333,
重庆轨道交通,轨道交通4号线,900000070644,复盛,石河清,900000070644018,900000070644019,1.982,
重庆轨道交通,轨道交通4号线,900000070644,石河清,雁坪,900000070644019,900000070644020,2.677,
重庆轨道交通,轨道交通4号线,900000070644,雁坪,鱼嘴,900000070644020,900000070644021,1.217,
重庆轨道交通,轨道交通4号线,900000070644,鱼嘴,果园物流枢纽,900000070644021,900000070644022,2.805,
重庆轨道交通,轨道交通4号线,900000070644,果园物流枢纽,鹿栖,900000070644022,900000070644023,2.42,
重庆轨道交通,轨道交通4号线,900000070644,鹿栖,铁山坪,900000070644023,900000070644024,4.766,
重庆轨道交通,轨道交通4号线,900000070644,铁山坪,唐家沱,900000070644024,900000070644001,1.358,
重庆轨道交通,轨道交通4号线,900000070644,唐家沱,太平冲,900000070644001,900000070644002,1.703,
重庆轨道交通,轨道交通4号线,900000070644,太平冲,港城,900000070644002,900000070644003,1.812,
重庆轨道交通,轨道交通4号线,900000070644,港城,黑石子,900000070644003,900000070644004,1.171,
重庆轨道交通,轨道交通4号线,900000070644,黑石子,寸滩,900000070644004,900000070644005,1.47,
重庆轨道交通,轨道交通4号线,900000070644,寸滩,保税港,900000070644005,900000070621018,2.253,
重庆轨道交通,轨道交通4号线,900000070644,保税港,头塘,900000070621018,900000070621017,1.39,
重庆轨道交通,轨道交通4号线,900000070644,头塘,重庆北站北广场,900000070621017,900000070644008,2.203,
重庆轨道交通,轨道交通4号线,900000070644,重庆北站北广场,民安大道,900000070644008,900000055077034,2.181,
