系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
大连地铁,地铁3号线,210200031346,大连站,香炉礁,210200031346002,210200031346003,2.28,
大连地铁,地铁3号线,210200031346,香炉礁,金家街,210200031346003,210200031346004,4.362,
大连地铁,地铁3号线,210200031346,金家街,泉水,210200031346004,210200031346005,3.955,
大连地铁,地铁3号线,210200031346,泉水,后盐,210200031346005,210200031346006,2.851,
大连地铁,地铁3号线,210200031346,后盐,大连湾,210200031346006,210200031346007,6.436,
大连地铁,地铁3号线,210200031346,大连湾,金马路,210200031346007,210200031346008,3.308,
大连地铁,地铁3号线,210200031346,金马路,开发区,210200031346008,210200031346009,2.723,
大连地铁,地铁3号线,210200031346,开发区,保税区,210200031346009,210200031346010,2.481,
大连地铁,地铁3号线,210200031346,保税区,双D港,210200031346010,210200031346011,5.993,
大连地铁,地铁3号线,210200031346,双D港,小窑湾,210200031346011,210200031346012,2.781,
大连地铁,地铁3号线,210200031346,小窑湾,金石滩,210200031346012,210200031346013,9.299,
