系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
福州地铁,地铁2号线,350100020745,苏洋,0.0,0.0,119.159630,26.098509,350100020745002,,
福州地铁,地铁2号线,350100020745,沙堤,2.014,2.014,119.173983,26.085788,350100020745003,,
福州地铁,地铁2号线,350100020745,上街,1.74,3.754,119.187282,26.075681,350100020745004,,
福州地铁,地铁2号线,350100020745,金屿,1.593,5.347,119.200134,26.067193,350100020745005,,
福州地铁,地铁2号线,350100020745,福州大学,1.035,6.382,119.203480,26.058382,350100020745006,,
福州地铁,地铁2号线,350100020745,董屿·福建师大,1.934,8.316,119.207305,26.041328,350100020745007,,
福州地铁,地铁2号线,350100020745,厚庭,0.762,9.078,119.214929,26.041330,350100020745008,,
福州地铁,地铁2号线,350100020745,桔园洲,2.85,11.928,119.242783,26.046869,350100020745009,,
福州地铁,地铁2号线,350100020745,洪湾,0.73,12.658,119.250067,26.047386,350100020745010,,
福州地铁,地铁2号线,350100020745,金山,1.225,13.883,119.262331,26.047449,350100020745011,,
福州地铁,地铁2号线,350100020745,金祥,0.886,14.769,119.271121,26.048511,350100020745012,,
福州地铁,地铁2号线,350100020745,祥坂,2.017,16.786,119.286026,26.060745,350100020745013,,
福州地铁,地铁2号线,350100020745,宁化,0.759,17.545,119.293285,26.062753,350100020745014,,
福州地铁,地铁2号线,350100020745,西洋,1.055,18.6,119.296899,26.071669,350100020745015,,
福州地铁,地铁2号线,350100020745,南门兜,0.809,19.409,119.303197,26.076250,350100020612037,,
福州地铁,地铁2号线,350100020745,水部,1.096,20.505,119.314169,26.076428,350100020745018,,
福州地铁,地铁2号线,350100020745,紫阳,1.299,21.804,119.327173,26.076378,350100020745024,,
福州地铁,地铁2号线,350100020745,五里亭,1.33,23.134,119.340276,26.074265,350100020745020,,
福州地铁,地铁2号线,350100020745,前屿,1.04,24.174,119.350356,26.071935,350100020745021,,
福州地铁,地铁2号线,350100020745,上洋,1.403,25.577,119.363035,26.066498,350100020745022,,
福州地铁,地铁2号线,350100020745,鼓山,1.895,27.472,119.375054,26.053312,350100020745023,,
福州地铁,地铁2号线,350100020745,洋里,0.939,28.411,119.372233,26.045254,350100020745025,,
