系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
广州地铁,地铁10号线,900000094220,西塱,0.0,0.0,113.231514,23.065063,440100023043015,,
广州地铁,地铁10号线,900000094220,花围,1.621,1.621,113.245092,23.057549,900000094220018,,
广州地铁,地铁10号线,900000094220,东沙,1.948,3.569,113.264127,23.057041,900000094220017,,
广州地铁,地铁10号线,900000094220,大干围,2.023,5.592,113.283538,23.060525,900000094220016,,
广州地铁,地铁10号线,900000094220,工业大道南,0.98,6.572,113.288847,23.067856,900000094220015,,
广州地铁,地铁10号线,900000094220,东晓南,0.668,7.24,113.294174,23.071333,440100023308008,,
广州地铁,地铁10号线,900000094220,五凤,1.203,8.443,113.296070,23.082006,900000074491033,,
广州地铁,地铁10号线,900000094220,中大南门,0.773,9.216,113.296317,23.088952,900000094220012,,
广州地铁,地铁10号线,900000094220,滨江东路,1.744,10.96,113.291848,23.104084,900000094220011,,
广州地铁,地铁10号线,900000094220,东湖,1.27,12.23,113.288583,23.115102,440100023053011,,
广州地铁,地铁10号线,900000094220,五羊邨,2.414,14.644,113.311641,23.119762,440100023037013,,
广州地铁,地铁10号线,900000094220,杨箕东,0.673,15.317,113.315841,23.124419,900000094220007,,
