系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
杭州地铁,地铁3号线,900000096933,星桥,0.0,0.0,120.263582,30.389241,900000092651031,,
杭州地铁,地铁3号线,900000096933,黄鹤山,1.885,1.885,120.246438,30.380952,900000092651030,,
杭州地铁,地铁3号线,900000096933,华鹤街,1.439,3.324,120.237758,30.370397,900000092651029,,
杭州地铁,地铁3号线,900000096933,丁桥,1.653,4.977,120.234606,30.355786,900000092651028,,
杭州地铁,地铁3号线,900000096933,桃花湖公园,1.363,6.34,120.221315,30.351468,900000092651027,,
杭州地铁,地铁3号线,900000096933,同协路,1.2,7.54,120.211873,30.344386,900000092651026,,
杭州地铁,地铁3号线,900000096933,华丰路,0.865,8.405,120.204384,30.340050,900000092651025,,
杭州地铁,地铁3号线,900000096933,汽轮广场,1.645,10.05,120.188317,30.334899,900000092651024,,
杭州地铁,地铁3号线,900000096933,新天地街,1.742,11.792,120.179584,30.321168,900000029624037,,
杭州地铁,地铁3号线,900000096933,善贤,1.863,13.655,120.160651,30.317478,900000065767015,,
杭州地铁,地铁3号线,900000096933,大关,1.541,15.196,120.149143,30.307815,900000092651021,,
杭州地铁,地铁3号线,900000096933,香积寺,0.873,16.069,120.148795,30.299974,900000092651020,,
杭州地铁,地铁3号线,900000096933,潮王路,1.441,17.51,120.158795,30.290314,900000092651019,,
杭州地铁,地铁3号线,900000096933,西湖文化广场,1.362,18.872,120.165639,30.279585,330100023133014,,
杭州地铁,地铁3号线,900000096933,武林广场,0.812,19.684,120.164324,30.272368,330100023133015,,
杭州地铁,地铁3号线,900000096933,武林门,0.911,20.595,120.155365,30.269668,330100020003031,,
杭州地铁,地铁3号线,900000096933,黄龙洞,1.51,22.105,120.140449,30.265387,900000092651046,,
杭州地铁,地铁3号线,900000096933,黄龙体育中心,1.06,23.165,120.129899,30.268190,900000092651045,,
杭州地铁,地铁3号线,900000096933,古荡,0.773,23.938,120.122457,30.270848,900000092651044,,
杭州地铁,地铁3号线,900000096933,古荡新村,1.085,25.023,120.111229,30.269789,900000092651043,,
杭州地铁,地铁3号线,900000096933,古墩路,1.016,26.039,120.101975,30.265363,900000092651042,,
杭州地铁,地铁3号线,900000096933,东岳,1.247,27.286,120.089527,30.262171,900000092651041,,
杭州地铁,地铁3号线,900000096933,花坞,1.24,28.526,120.076724,30.260750,900000092651040,,
杭州地铁,地铁3号线,900000096933,西溪湿地南,1.627,30.153,120.061779,30.253858,900000092651039,,
杭州地铁,地铁3号线,900000096933,留下,1.701,31.854,120.052093,30.241056,900000096933004,,
杭州地铁,地铁3号线,900000096933,屏峰,2.471,34.325,120.037251,30.222908,900000096933003,,
杭州地铁,地铁3号线,900000096933,小和山,1.981,36.306,120.021049,30.211893,900000096933002,,
杭州地铁,地铁3号线,900000096933,石马,1.127,37.433,120.010966,30.206719,900000096933001,,
