系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
杭州地铁,地铁9号线,900000166808,龙安,0.0,0.0,120.273183,30.455958,900000166808008,,
杭州地铁,地铁9号线,900000166808,五洲路,1.363,1.363,120.278916,30.444745,900000166808009,,
杭州地铁,地铁9号线,900000166808,荷禹路,1.306,2.669,120.284569,30.434063,900000166808010,,
杭州地铁,地铁9号线,900000166808,邱山大街,1.795,4.464,120.295189,30.420768,900000166808011,,
杭州地铁,地铁9号线,900000166808,临平,1.772,6.236,120.304068,30.406793,900000166808001,,
杭州地铁,地铁9号线,900000166808,南苑,1.33,7.566,120.302396,30.394918,900000166808002,,
杭州地铁,地铁9号线,900000166808,临平南高铁站,1.495,9.061,120.297858,30.382057,900000150702001,,
杭州地铁,地铁9号线,900000166808,翁梅,1.935,10.996,120.295006,30.364832,900000166808004,,
杭州地铁,地铁9号线,900000166808,乔司,2.206,13.202,120.285261,30.346865,900000166808005,,
杭州地铁,地铁9号线,900000166808,乔司南,2.235,15.437,120.290691,30.327319,900000166808006,,
杭州地铁,地铁9号线,900000166808,客运中心,2.128,17.565,120.278837,30.311145,330100023133006,,
杭州地铁,地铁9号线,900000166808,九睦路,0.95,18.515,120.271195,30.305715,900000166808012,,
杭州地铁,地铁9号线,900000166808,红普南路,1.614,20.129,120.263187,30.292956,900000166808013,,
杭州地铁,地铁9号线,900000166808,六堡,1.375,21.504,120.251122,30.286301,900000166808014,,
杭州地铁,地铁9号线,900000166808,五堡,1.069,22.573,120.242115,30.280647,900000166808015,,
杭州地铁,地铁9号线,900000166808,御道,0.939,23.512,120.236213,30.273910,900000101230006,,
杭州地铁,地铁9号线,900000166808,三堡,1.118,24.63,120.227958,30.266822,900000062493022,,
杭州地铁,地铁9号线,900000166808,江河汇,0.874,25.504,120.221398,30.261374,900000166808018,,
杭州地铁,地铁9号线,900000166808,钱江路,0.976,26.48,120.213387,30.255978,330100020003014,,
杭州地铁,地铁9号线,900000166808,新业路,0.877,27.357,120.208875,30.249120,900000166808020,,
杭州地铁,地铁9号线,900000166808,观音塘,0.734,28.091,120.201609,30.247079,900000099060031,,
