系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
呼和浩特地铁,地铁1号线,900000077532,伊利健康谷,西二环路,900000077532001,900000077532020,1.806,
呼和浩特地铁,地铁1号线,900000077532,西二环路,孔家营,900000077532020,900000077532002,1.208,
呼和浩特地铁,地铁1号线,900000077532,孔家营,呼钢南路,900000077532002,900000077532003,1.167,
呼和浩特地铁,地铁1号线,900000077532,呼钢南路,西龙王庙,900000077532003,900000077532004,1.459,
呼和浩特地铁,地铁1号线,900000077532,西龙王庙,乌兰夫纪念馆,900000077532004,900000077532005,0.928,
呼和浩特地铁,地铁1号线,900000077532,乌兰夫纪念馆,附属医院,900000077532005,900000077532006,1.235,
呼和浩特地铁,地铁1号线,900000077532,附属医院,新华广场,900000077532006,900000077532007,1.079,
呼和浩特地铁,地铁1号线,900000077532,新华广场,人民会堂,900000077532007,900000077532008,0.741,
呼和浩特地铁,地铁1号线,900000077532,人民会堂,将军衙署,900000077532008,900000077532019,1.111,
呼和浩特地铁,地铁1号线,900000077532,将军衙署,艺术学院,900000077532019,900000077532009,0.958,
呼和浩特地铁,地铁1号线,900000077532,艺术学院,东影路,900000077532009,900000077532010,0.805,
呼和浩特地铁,地铁1号线,900000077532,东影路,内蒙古展览馆,900000077532010,900000077532011,1.019,
呼和浩特地铁,地铁1号线,900000077532,内蒙古展览馆,内蒙古博物院,900000077532011,900000077532012,0.997,
呼和浩特地铁,地铁1号线,900000077532,内蒙古博物院,市政府,900000077532012,900000077532013,1.349,
呼和浩特地铁,地铁1号线,900000077532,市政府,呼和浩特东站,900000077532013,900000077532014,1.934,
呼和浩特地铁,地铁1号线,900000077532,呼和浩特东站,后不塔气,900000077532014,900000077532015,1.161,
呼和浩特地铁,地铁1号线,900000077532,后不塔气,什兰岱,900000077532015,900000077532016,1.678,
呼和浩特地铁,地铁1号线,900000077532,什兰岱,白塔西,900000077532016,900000077532017,0.974,
呼和浩特地铁,地铁1号线,900000077532,白塔西,坝堰(机场),900000077532017,900000077532018,1.126,
