系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
港铁,屯马线,810000020825,屯门,兆康,810000020825028,810000020825027,1.959,
港铁,屯马线,810000020825,兆康,天水围,810000020825027,810000020825026,4.754,
港铁,屯马线,810000020825,天水围,朗屏,810000020825026,810000020825025,2.163,
港铁,屯马线,810000020825,朗屏,元朗,810000020825025,810000020825024,1.047,
港铁,屯马线,810000020825,元朗,锦上路,810000020825024,810000020825023,3.133,
港铁,屯马线,810000020825,锦上路,荃湾西,810000020825023,810000020825022,8.838,
港铁,屯马线,810000020825,荃湾西,美孚,810000020825022,810000020823012,4.411,
港铁,屯马线,810000020825,美孚,南昌,810000020823012,810000020807006,2.046,
港铁,屯马线,810000020825,南昌,柯士甸,810000020807006,810000020825019,2.773,
港铁,屯马线,810000020825,柯士甸,尖东,810000020825019,810000020825018,1.351,
港铁,屯马线,810000020825,尖东,红磡,810000020825018,810000020809002,1.086,
港铁,屯马线,810000020825,红磡,何文田,810000020809002,810000020821018,0.732,
港铁,屯马线,810000020825,何文田,土瓜湾,810000020821018,810000020825015,0.925,
港铁,屯马线,810000020825,土瓜湾,宋皇台,810000020825015,810000020825014,1.105,
港铁,屯马线,810000020825,宋皇台,启德,810000020825014,810000020825013,1.005,
港铁,屯马线,810000020825,启德,钻石山,810000020825013,810000020821009,1.096,
港铁,屯马线,810000020825,钻石山,显径,810000020821009,810000020825011,4.113,
港铁,屯马线,810000020825,显径,大围,810000020825011,810000020809005,1.256,
港铁,屯马线,810000020825,大围,车公庙,810000020809005,810000020825009,0.84,
港铁,屯马线,810000020825,车公庙,沙田围,810000020825009,810000020825008,0.906,
港铁,屯马线,810000020825,沙田围,第一城,810000020825008,810000020825007,1.103,
港铁,屯马线,810000020825,第一城,石门,810000020825007,810000020825006,0.731,
港铁,屯马线,810000020825,石门,大水坑,810000020825006,810000020825005,2.729,
港铁,屯马线,810000020825,大水坑,恒安,810000020825005,810000020825004,1.121,
港铁,屯马线,810000020825,恒安,马鞍山,810000020825004,810000020825003,0.961,
港铁,屯马线,810000020825,马鞍山,乌溪沙,810000020825003,810000020825002,1.317,
