系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
济南地铁,轨道交通6号线,900000217623,梁王,0.0,0.0,117.176455,36.747458,900000217623003,,
济南地铁,轨道交通6号线,900000217623,梁王西,1.099,1.099,117.188781,36.747173,900000217623002,,
济南地铁,轨道交通6号线,900000217623,济南东站,2.587,3.686,117.159754,36.747646,900000066599006,,
济南地铁,轨道交通6号线,900000217623,响泉街,1.842,5.528,117.145417,36.735716,900000217623005,,
济南地铁,轨道交通6号线,900000217623,王舍人立交桥,1.502,7.03,117.146306,36.722227,900000217623006,,
济南地铁,轨道交通6号线,900000217623,凤凰北路,1.536,8.566,117.145572,36.708422,900000073474022,,
济南地铁,轨道交通6号线,900000217623,徐家庄,1.116,9.682,117.147545,36.698508,900000217623008,,
济南地铁,轨道交通6号线,900000217623,世纪大道,1.043,10.725,117.148215,36.689146,900000217623009,,
济南地铁,轨道交通6号线,900000217623,开拓路,1.089,11.814,117.142184,36.680626,900000217623010,,
济南地铁,轨道交通6号线,900000217623,齐鲁软件园,1.12,12.934,117.131374,36.675505,900000217623011,,
济南地铁,轨道交通6号线,900000217623,天泺路,1.284,14.218,117.119062,36.669511,900000217623012,,
济南地铁,轨道交通6号线,900000217623,安成街,0.83,15.048,117.109853,36.668454,900000066599013,,
济南地铁,轨道交通6号线,900000217623,中央商务区,0.806,15.854,117.100819,36.668423,900000177338007,,
济南地铁,轨道交通6号线,900000217623,茂陵山,0.553,16.407,117.094615,36.668531,900000217623015,,
济南地铁,轨道交通6号线,900000217623,七里河路南口,1.284,17.691,117.081066,36.672431,900000217623016,,
济南地铁,轨道交通6号线,900000217623,山大南路东口,0.553,18.244,117.074900,36.671893,900000217623017,,
济南地铁,轨道交通6号线,900000217623,山东大学,1.571,19.815,117.057286,36.671864,900000217623018,,
