系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
金华轨道交通,金义东线金义段,900000167204,金华站,双溪西路,900000167204001,900000167204002,2.27,
金华轨道交通,金义东线金义段,900000167204,双溪西路,八一南街,900000167204002,900000167204003,1.284,
金华轨道交通,金义东线金义段,900000167204,八一南街,万达广场,900000167204003,900000167204004,2.176,
金华轨道交通,金义东线金义段,900000167204,万达广场,大堰河街,900000167204004,900000167204005,2.818,
金华轨道交通,金义东线金义段,900000167204,大堰河街,轨道大厦,900000167204005,900000167204006,1.792,
金华轨道交通,金义东线金义段,900000167204,轨道大厦,金华南站,900000167204006,900000167204007,2.417,
金华轨道交通,金义东线金义段,900000167204,金华南站,塘雅,900000167204007,900000167204008,8.932,
金华轨道交通,金义东线金义段,900000167204,塘雅,综保区,900000167204008,900000167204009,4.876,
金华轨道交通,金义东线金义段,900000167204,综保区,新区,900000167204009,900000167204010,2.278,
金华轨道交通,金义东线金义段,900000167204,新区,东华街,900000167204010,900000167204011,2.082,
金华轨道交通,金义东线金义段,900000167204,东华街,义亭,900000167204011,900000167204012,8.742,
金华轨道交通,金义东线金义段,900000167204,义亭,官塘,900000167204012,900000167204013,5.797,
金华轨道交通,金义东线金义段,900000167204,官塘,稠江,900000167204013,900000167204014,2.12,
金华轨道交通,金义东线金义段,900000167204,稠江,绣湖,900000167204014,900000167204015,3.749,
金华轨道交通,金义东线金义段,900000167204,绣湖,秦塘,900000167204015,900000167204016,3.608,
