系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
昆明地铁,地铁5号线,900000071162,世博园,0.0,0.0,102.754342,25.069199,900000071162001,,
昆明地铁,地铁5号线,900000071162,白龙寺,1.11,1.11,102.748117,25.060961,900000071162002,,
昆明地铁,地铁5号线,900000071162,石闸,1.128,2.238,102.740632,25.053412,900000071162003,,
昆明地铁,地铁5号线,900000071162,穿金路,1.098,3.336,102.729852,25.054853,900000071162004,,
昆明地铁,地铁5号线,900000071162,火车北站,0.972,4.308,102.720305,25.056113,530100021490010,,
昆明地铁,地铁5号线,900000071162,圆通山,0.777,5.085,102.712719,25.054838,900000071162006,,
昆明地铁,地铁5号线,900000071162,华山西路,1.231,6.316,102.707544,25.044810,900000071162007,,
昆明地铁,地铁5号线,900000071162,五一路,0.867,7.183,102.706347,25.037085,900000040209010,,
昆明地铁,地铁5号线,900000071162,弥勒寺,0.855,8.038,102.699926,25.032055,900000071162009,,
昆明地铁,地铁5号线,900000071162,严家地,1.274,9.312,102.698471,25.020672,900000071162010,,
昆明地铁,地铁5号线,900000071162,金兰路,1.108,10.42,102.690360,25.013946,900000071162011,,
昆明地铁,地铁5号线,900000071162,福海,0.637,11.057,102.685106,25.010759,900000071162012,,
昆明地铁,地铁5号线,900000071162,广福路西口,1.322,12.379,102.674169,25.004190,900000071162013,,
昆明地铁,地铁5号线,900000071162,大坝,1.415,13.794,102.664508,24.994955,900000071162014,,
昆明地铁,地铁5号线,900000071162,迎海路,1.178,14.972,102.663638,24.984391,900000071162015,,
昆明地铁,地铁5号线,900000071162,渔户村,1.097,16.069,102.670544,24.976770,900000071162016,,
昆明地铁,地铁5号线,900000071162,兴体路,0.974,17.043,102.680065,24.975297,900000071162017,,
昆明地铁,地铁5号线,900000071162,庄家塘立交桥,1.322,18.365,102.692974,24.973188,900000071162018,,
昆明地铁,地铁5号线,900000071162,金家河,1.295,19.66,102.693228,24.961547,900000071162019,,
昆明地铁,地铁5号线,900000071162,福保,1.892,21.552,102.696499,24.944792,900000071162020,,
昆明地铁,地铁5号线,900000071162,滇池国际会展中心,1.363,22.915,102.708414,24.939002,900000071162021,,
昆明地铁,地铁5号线,900000071162,宝丰,1.759,24.674,102.723155,24.930550,900000071162022,,
