系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
洛阳轨道交通,地铁2号线,900000076079,二乔路,邙岭,900000076079001,900000076079002,0.767,
洛阳轨道交通,地铁2号线,900000076079,邙岭,国花路,900000076079002,900000076079003,1.414,
洛阳轨道交通,地铁2号线,900000076079,国花路,洛阳火车站,900000076079003,900000076079004,1.293,
洛阳轨道交通,地铁2号线,900000076079,洛阳火车站,纱厂路,900000076079004,900000076079005,0.829,
洛阳轨道交通,地铁2号线,900000076079,纱厂路,解放路,900000076079005,900000076062009,0.899,
洛阳轨道交通,地铁2号线,900000076079,解放路,牡丹桥,900000076062009,900000076079007,1.087,
洛阳轨道交通,地铁2号线,900000076079,牡丹桥,文博园,900000076079007,900000076079008,2.112,
洛阳轨道交通,地铁2号线,900000076079,文博园,隋唐园,900000076079008,900000076079009,0.855,
洛阳轨道交通,地铁2号线,900000076079,隋唐园,体育中心,900000076079009,900000076079010,1.582,
洛阳轨道交通,地铁2号线,900000076079,体育中心,市民之家,900000076079010,900000076079011,0.936,
洛阳轨道交通,地铁2号线,900000076079,市民之家,开元湖,900000076079011,900000076079012,0.959,
洛阳轨道交通,地铁2号线,900000076079,开元湖,兴洛湖,900000076079012,900000076079013,0.758,
洛阳轨道交通,地铁2号线,900000076079,兴洛湖,龙门高铁站,900000076079013,900000076079014,1.205,
洛阳轨道交通,地铁2号线,900000076079,龙门高铁站,八里堂,900000076079014,900000076079015,1.76,
