系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
南昌地铁,地铁3号线,900000057035,京东大道,0.0,0.0,115.972495,28.692445,900000057035001,,
南昌地铁,地铁3号线,900000057035,梁万,1.209,1.209,115.960352,28.690277,900000057035002,,
南昌地铁,地铁3号线,900000057035,火炬广场,1.076,2.285,115.949586,28.688182,900000057035003,,
南昌地铁,地铁3号线,900000057035,国威路,0.767,3.052,115.941806,28.687168,900000057035004,,
南昌地铁,地铁3号线,900000057035,青山湖西,1.925,4.977,115.923339,28.693267,900000057035005,,
南昌地铁,地铁3号线,900000057035,上沙沟,1.158,6.135,115.911541,28.694437,900000057035006,,
南昌地铁,地铁3号线,900000057035,青山路口,1.22,7.355,115.902096,28.687249,360100020563033,,
南昌地铁,地铁3号线,900000057035,墩子塘,0.757,8.112,115.894791,28.684957,900000057035008,,
南昌地铁,地铁3号线,900000057035,八一馆,1.08,9.192,115.891587,28.675662,360100020431013,,
南昌地铁,地铁3号线,900000057035,六眼井,0.693,9.885,115.893928,28.669774,900000057035010,,
南昌地铁,地铁3号线,900000057035,绳金塔,1.476,11.361,115.901415,28.658241,900000057035011,,
南昌地铁,地铁3号线,900000057035,十字街,0.637,11.998,115.905827,28.654019,900000057035012,,
南昌地铁,地铁3号线,900000057035,京家山,1.681,13.679,115.906520,28.638918,900000057035013,,
南昌地铁,地铁3号线,900000057035,江铃,1.63,15.309,115.907392,28.624280,900000057035014,,
南昌地铁,地铁3号线,900000057035,施尧,1.008,16.317,115.907844,28.615223,900000057035015,,
南昌地铁,地铁3号线,900000057035,八大山人,1.493,17.81,115.908447,28.601805,900000057035016,,
南昌地铁,地铁3号线,900000057035,邓埠,1.331,19.141,115.909837,28.589895,900000057035017,,
南昌地铁,地铁3号线,900000057035,复兴大道东,1.556,20.697,115.912332,28.576072,900000057035018,,
南昌地铁,地铁3号线,900000057035,沥山,2.224,22.921,115.915972,28.556331,900000057035019,,
南昌地铁,地铁3号线,900000057035,柏岗,1.348,24.269,115.918190,28.544366,900000057035020,,
南昌地铁,地铁3号线,900000057035,斗门,1.956,26.225,115.927796,28.528927,900000057035021,,
南昌地铁,地铁3号线,900000057035,银三角北,1.125,27.35,115.934838,28.520919,900000057035022,,
