系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
南京地铁,地铁S6号线(宁句线),320100021313,马群,百水桥,320100021313002,320100021313003,1.963,
南京地铁,地铁S6号线(宁句线),320100021313,百水桥,麒麟门,320100021313003,320100021313008,1.267,
南京地铁,地铁S6号线(宁句线),320100021313,麒麟门,东郊小镇,320100021313008,320100021313009,2.265,
南京地铁,地铁S6号线(宁句线),320100021313,东郊小镇,古泉,320100021313009,320100021313010,5.349,
南京地铁,地铁S6号线(宁句线),320100021313,古泉,南京猿人洞,320100021313010,320100021313011,4.325,
南京地铁,地铁S6号线(宁句线),320100021313,南京猿人洞,汤山,320100021313011,320100021313012,2.068,
南京地铁,地铁S6号线(宁句线),320100021313,汤山,泉都大街,320100021313012,320100021313013,2.177,
南京地铁,地铁S6号线(宁句线),320100021313,泉都大街,黄梅,320100021313013,320100021313014,6.683,
南京地铁,地铁S6号线(宁句线),320100021313,黄梅,童世界,320100021313014,320100021313004,4.851,
南京地铁,地铁S6号线(宁句线),320100021313,童世界,华阳,320100021313004,320100021313005,2.654,
南京地铁,地铁S6号线(宁句线),320100021313,华阳,崇明,320100021313005,320100021313006,3.22,
南京地铁,地铁S6号线(宁句线),320100021313,崇明,句容,320100021313006,320100021313007,2.443,
