系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
南宁地铁,轨道交通1号线,900000058314,火车东站,佛子岭,900000058314001,900000058314002,1.408,
南宁地铁,轨道交通1号线,900000058314,佛子岭,百花岭,900000058314002,900000058314003,1.559,
南宁地铁,轨道交通1号线,900000058314,百花岭,埌东客运站,900000058314003,900000058314004,1.115,
南宁地铁,轨道交通1号线,900000058314,埌东客运站,凤岭,900000058314004,900000058314005,0.85,
南宁地铁,轨道交通1号线,900000058314,凤岭,东盟商务区,900000058314005,900000058314006,1.157,
南宁地铁,轨道交通1号线,900000058314,东盟商务区,万象城,900000058314006,900000058314007,0.721,
南宁地铁,轨道交通1号线,900000058314,万象城,会展中心,900000058314007,900000058314008,0.85,
南宁地铁,轨道交通1号线,900000058314,会展中心,金湖广场,900000058314008,900000058314009,1.166,
南宁地铁,轨道交通1号线,900000058314,金湖广场,南湖,900000058314009,900000058314010,0.956,
南宁地铁,轨道交通1号线,900000058314,南湖,麻村,900000058314010,900000058314011,1.6,
南宁地铁,轨道交通1号线,900000058314,麻村,民族广场,900000058314011,900000058314012,1.14,
南宁地铁,轨道交通1号线,900000058314,民族广场,新民路,900000058314012,900000058314013,0.925,
南宁地铁,轨道交通1号线,900000058314,新民路,朝阳广场,900000058314013,900000058314014,0.803,
南宁地铁,轨道交通1号线,900000058314,朝阳广场,火车站,900000058314014,900000058314015,0.981,
南宁地铁,轨道交通1号线,900000058314,火车站,白苍岭,900000058314015,900000058314016,1.166,
南宁地铁,轨道交通1号线,900000058314,白苍岭,广西大学,900000058314016,900000058314017,1.645,
南宁地铁,轨道交通1号线,900000058314,广西大学,鲁班路,900000058314017,900000058314018,0.874,
南宁地铁,轨道交通1号线,900000058314,鲁班路,动物园,900000058314018,900000058314019,1.616,
南宁地铁,轨道交通1号线,900000058314,动物园,清川,900000058314019,900000058314020,1.524,
南宁地铁,轨道交通1号线,900000058314,清川,民族大学,900000058314020,900000058314021,2.086,
南宁地铁,轨道交通1号线,900000058314,民族大学,西乡塘客运站,900000058314021,900000058314022,1.499,
南宁地铁,轨道交通1号线,900000058314,西乡塘客运站,鹏飞路,900000058314022,900000058314023,1.729,
南宁地铁,轨道交通1号线,900000058314,鹏飞路,南职院,900000058314023,900000058314024,1.029,
南宁地铁,轨道交通1号线,900000058314,南职院,石埠,900000058314024,900000058314025,1.671,
