系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
宁波轨道交通,轨道交通4号线,900000067964,慈城西,0.0,0.0,121.437545,29.985012,900000067964026,,
宁波轨道交通,轨道交通4号线,900000067964,慈城,1.673,1.673,121.450973,29.975471,900000067964001,,
宁波轨道交通,轨道交通4号线,900000067964,官山河,1.802,3.475,121.460099,29.961327,900000067964002,,
宁波轨道交通,轨道交通4号线,900000067964,长兴路,1.484,4.959,121.462151,29.948101,900000067964003,,
宁波轨道交通,轨道交通4号线,900000067964,金山路,1.136,6.095,121.470700,29.941070,900000067964004,,
宁波轨道交通,轨道交通4号线,900000067964,奥体中心,2.035,8.13,121.490244,29.934132,900000067964005,,
宁波轨道交通,轨道交通4号线,900000067964,洪塘中路,1.314,9.444,121.501582,29.927570,900000067964006,,
宁波轨道交通,轨道交通4号线,900000067964,洪大路,2.073,11.517,121.521839,29.921287,900000067964007,,
宁波轨道交通,轨道交通4号线,900000067964,庄桥火车站,1.224,12.741,121.534510,29.921992,900000067964008,,
宁波轨道交通,轨道交通4号线,900000067964,丽江路,1.335,14.076,121.538966,29.910628,900000067964009,,
宁波轨道交通,轨道交通4号线,900000067964,双东路,1.725,15.801,121.532690,29.896099,900000067964010,,
宁波轨道交通,轨道交通4号线,900000067964,翠柏里,0.897,16.698,121.532273,29.888041,900000067964011,,
宁波轨道交通,轨道交通4号线,900000067964,大卿桥,1.274,17.972,121.531880,29.876588,330200021803009,,
宁波轨道交通,轨道交通4号线,900000067964,柳西,0.72,18.692,121.531223,29.870134,900000067964013,,
宁波轨道交通,轨道交通4号线,900000067964,宁波火车站,1.05,19.742,121.537022,29.862141,330200021780011,,
宁波轨道交通,轨道交通4号线,900000067964,兴宁桥西,1.181,20.923,121.548717,29.858995,900000067964015,,
宁波轨道交通,轨道交通4号线,900000067964,兴宁桥东,0.923,21.846,121.556490,29.854152,900000067964016,,
宁波轨道交通,轨道交通4号线,900000067964,白鹤,0.961,22.807,121.566228,29.852318,900000067964017,,
宁波轨道交通,轨道交通4号线,900000067964,儿童公园,1.176,23.983,121.578385,29.853160,900000067955006,,
宁波轨道交通,轨道交通4号线,900000067964,矮柳,0.88,24.863,121.587279,29.851379,900000067964019,,
宁波轨道交通,轨道交通4号线,900000067964,潘火路,1.306,26.169,121.591518,29.840227,900000067964020,,
宁波轨道交通,轨道交通4号线,900000067964,嵩江东路,1.77,27.939,121.583548,29.825887,900000067964021,,
宁波轨道交通,轨道交通4号线,900000067964,南高教园区,1.089,29.028,121.580031,29.816580,900000067964022,,
宁波轨道交通,轨道交通4号线,900000067964,金达南路,1.823,30.851,121.592477,29.804240,900000067964023,,
宁波轨道交通,轨道交通4号线,900000067964,小洋江,2.209,33.06,121.611398,29.793052,900000067964024,,
宁波轨道交通,轨道交通4号线,900000067964,国际会议中心,4.068,37.128,121.635033,29.762760,900000067964027,,
宁波轨道交通,轨道交通4号线,900000067964,东钱湖,2.209,39.337,121.628335,29.781753,900000067964025,,
