系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
青岛地铁,地铁3号线,900000030289,青岛北站,0.0,0.0,120.377367,36.169798,900000030289001,,
青岛地铁,地铁3号线,900000030289,永平路,1.438,1.438,120.393108,36.172198,900000030289002,,
青岛地铁,地铁3号线,900000030289,振华路,1.197,2.635,120.405921,36.169204,900000030289003,,
青岛地铁,地铁3号线,900000030289,君峰路,0.951,3.586,120.414861,36.164622,900000030289004,,
青岛地铁,地铁3号线,900000030289,李村,1.081,4.667,120.424747,36.159067,900000030289005,,
青岛地铁,地铁3号线,900000030289,万年泉路,1.192,5.859,120.427661,36.148605,900000030289006,,
青岛地铁,地铁3号线,900000030289,海尔路,1.339,7.198,120.423208,36.137111,900000030289007,,
青岛地铁,地铁3号线,900000030289,地铁大厦,1.053,8.251,120.414359,36.130893,900000030289008,,
青岛地铁,地铁3号线,900000030289,长沙路,1.5,9.751,120.403261,36.120809,900000030289009,,
青岛地铁,地铁3号线,900000030289,双山,0.896,10.647,120.397406,36.114280,900000030289010,,
青岛地铁,地铁3号线,900000030289,清江路,1.226,11.873,120.387296,36.106869,900000030289023,,
青岛地铁,地铁3号线,900000030289,错埠岭,1.232,13.105,120.385383,36.095896,900000030289024,,
青岛地铁,地铁3号线,900000030289,敦化路,0.793,13.898,120.385321,36.088765,900000030289025,,
青岛地铁,地铁3号线,900000030289,宁夏路,0.782,14.68,120.385691,36.081741,900000030289026,,
青岛地铁,地铁3号线,900000030289,江西路,0.931,15.611,120.388271,36.073635,900000030289027,,
青岛地铁,地铁3号线,900000030289,五四广场,1.218,16.829,120.380343,36.064750,900000030289028,,
青岛地铁,地铁3号线,900000030289,延安三路,0.74,17.569,120.373767,36.060740,900000030289029,,
青岛地铁,地铁3号线,900000030289,太平角公园,1.486,19.055,120.359654,36.053773,900000030289030,,
青岛地铁,地铁3号线,900000030289,中山公园,0.869,19.924,120.351805,36.058342,900000030289031,,
青岛地铁,地铁3号线,900000030289,汇泉广场,0.779,20.703,120.343300,36.059678,900000030289032,,
青岛地铁,地铁3号线,900000030289,人民会堂,1.234,21.937,120.329579,36.059871,900000030289033,,
青岛地铁,地铁3号线,900000030289,青岛站,1.432,23.369,120.314566,36.064191,900000030289034,,
