系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
上海地铁,地铁2号线,310100025693,浦东1号2号航站楼,海天三路,310100025693024,310100025693025,2.115,
上海地铁,地铁2号线,310100025693,海天三路,远东大道,310100025693025,310100025693026,5.241,
上海地铁,地铁2号线,310100025693,远东大道,凌空路,310100025693026,310100025693027,3.056,
上海地铁,地铁2号线,310100025693,凌空路,川沙,310100025693027,310100025693028,2.555,
上海地铁,地铁2号线,310100025693,川沙,华夏东路,310100025693028,310100025693029,1.971,
上海地铁,地铁2号线,310100025693,华夏东路,创新中路,310100025693029,310100025693030,2.043,
上海地铁,地铁2号线,310100025693,创新中路,唐镇,310100025693030,310100025693031,1.659,
上海地铁,地铁2号线,310100025693,唐镇,广兰路,310100025693031,310100025693002,3.364,
上海地铁,地铁2号线,310100025693,广兰路,金科路,310100025693002,310100025693003,1.968,
上海地铁,地铁2号线,310100025693,金科路,张江高科,310100025693003,310100025693004,1.403,
上海地铁,地铁2号线,310100025693,张江高科,龙阳路,310100025693004,310100024526014,2.846,
上海地铁,地铁2号线,310100025693,龙阳路,世纪公园,310100024526014,310100025693006,0.912,
上海地铁,地铁2号线,310100025693,世纪公园,上海科技馆,310100025693006,310100025693007,1.213,
上海地铁,地铁2号线,310100025693,上海科技馆,世纪大道,310100025693007,310100024540013,1.971,
上海地铁,地铁2号线,310100025693,世纪大道,浦东南路(原东昌路),310100024540013,310100025693009,1.22,
上海地铁,地铁2号线,310100025693,浦东南路(原东昌路),陆家嘴,310100025693009,310100025693010,1.392,
上海地铁,地铁2号线,310100025693,陆家嘴,南京东路,310100025693010,310100025693011,1.664,
上海地铁,地铁2号线,310100025693,南京东路,人民广场,310100025693011,310100025685017,1.087,
上海地铁,地铁2号线,310100025693,人民广场,南京西路,310100025685017,310100024524017,1.473,
上海地铁,地铁2号线,310100025693,南京西路,静安寺,310100024524017,310100024542016,1.475,
上海地铁,地铁2号线,310100025693,静安寺,江苏路,310100024542016,310100024518021,1.543,
上海地铁,地铁2号线,310100025693,江苏路,中山公园,310100024518021,310100025693016,1.44,
上海地铁,地铁2号线,310100025693,中山公园,娄山关路,310100025693016,310100025693017,1.346,
上海地铁,地铁2号线,310100025693,娄山关路,威宁路,310100025693017,310100025693018,1.648,
上海地铁,地铁2号线,310100025693,威宁路,北新泾,310100025693018,310100025693019,1.275,
上海地铁,地铁2号线,310100025693,北新泾,淞虹路,310100025693019,310100025693020,1.39,
上海地铁,地铁2号线,310100025693,淞虹路,虹桥2号航站楼,310100025693020,310100025693021,4.285,
上海地铁,地铁2号线,310100025693,虹桥2号航站楼,虹桥火车站,310100025693021,310100025693022,0.522,
上海地铁,地铁2号线,310100025693,虹桥火车站,国家会展中心(2号线),310100025693022,310100025693023,1.981,
上海地铁,地铁2号线,310100025693,国家会展中心(2号线),蟠祥路·国家会计学院,310100025693023,310100025693032,1.465,
