系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
深圳地铁,地铁12号线(南宝线),900000094862,松岗,0.0,0.0,113.829631,22.772271,440300024046020,,
深圳地铁,地铁12号线(南宝线),900000094862,朗下,1.276,1.276,113.818115,22.767913,900000094862035,,
深圳地铁,地铁12号线(南宝线),900000094862,步涌,1.325,2.601,113.812181,22.757325,900000094862036,,
深圳地铁,地铁12号线(南宝线),900000094862,沙井古墟,1.516,4.117,113.808554,22.744104,900000094862037,,
深圳地铁,地铁12号线(南宝线),900000094862,沙蚝,0.872,4.989,113.801591,22.739607,900000094862038,,
深圳地铁,地铁12号线(南宝线),900000094862,蚝乡,1.178,6.167,113.790149,22.740545,900000094862039,,
深圳地铁,地铁12号线(南宝线),900000094862,海上田园东,1.385,7.552,113.781235,22.731193,900000094862001,,
深圳地铁,地铁12号线(南宝线),900000094862,海上田园南,1.598,9.15,113.774406,22.718275,900000094862002,,
深圳地铁,地铁12号线(南宝线),900000094862,国展北,1.703,10.853,113.776899,22.703129,900000075925005,,
深圳地铁,地铁12号线(南宝线),900000094862,国展,0.805,11.658,113.777957,22.695959,900000075925004,,
深圳地铁,地铁12号线(南宝线),900000094862,福海西,1.451,13.109,113.789475,22.688385,900000094862005,,
深圳地铁,地铁12号线(南宝线),900000094862,桥头西,1.006,14.115,113.797429,22.683097,900000094862006,,
深圳地铁,地铁12号线(南宝线),900000094862,福永,1.382,15.497,113.806076,22.673562,440300024056009,,
深圳地铁,地铁12号线(南宝线),900000094862,怀德,1.523,17.02,113.818894,22.666657,900000094862008,,
深圳地铁,地铁12号线(南宝线),900000094862,福围,1.117,18.137,113.821180,22.656840,900000094862009,,
深圳地铁,地铁12号线(南宝线),900000094862,机场东,1.104,19.241,113.822634,22.647001,440300024063002,,
深圳地铁,地铁12号线(南宝线),900000094862,兴围,1.3,20.541,113.834486,22.642865,900000094862011,,
深圳地铁,地铁12号线(南宝线),900000094862,黄田,1.817,22.358,113.845683,22.630205,900000094862012,,
深圳地铁,地铁12号线(南宝线),900000094862,钟屋南,1.901,24.259,113.859227,22.618542,900000094862013,,
深圳地铁,地铁12号线(南宝线),900000094862,西乡桃源,0.896,25.155,113.862348,22.611019,900000094862014,,
深圳地铁,地铁12号线(南宝线),900000094862,平峦山,1.158,26.313,113.869771,22.603183,900000094862015,,
深圳地铁,地铁12号线(南宝线),900000094862,宝田一路,1.314,27.627,113.878477,22.594523,900000094862016,,
深圳地铁,地铁12号线(南宝线),900000094862,宝安客运站,0.786,28.413,113.883674,22.589332,900000094862017,,
深圳地铁,地铁12号线(南宝线),900000094862,流塘,0.849,29.262,113.889292,22.583729,900000094862018,,
深圳地铁,地铁12号线(南宝线),900000094862,上川,0.888,30.15,113.895129,22.577838,900000094862019,,
深圳地铁,地铁12号线(南宝线),900000094862,灵芝,1.354,31.504,113.904158,22.568964,440300024058023,,
深圳地铁,地铁12号线(南宝线),900000094862,新安公园,1.013,32.517,113.910883,22.562303,900000094862021,,
深圳地铁,地铁12号线(南宝线),900000094862,同乐南,1.043,33.56,113.918738,22.556361,900000094862022,,
深圳地铁,地铁12号线(南宝线),900000094862,中山公园,1.136,34.696,113.923225,22.547021,900000094862023,,
深圳地铁,地铁12号线(南宝线),900000094862,南头古城,0.956,35.652,113.924145,22.538465,900000094862024,,
深圳地铁,地铁12号线(南宝线),900000094862,桃园,0.777,36.429,113.924781,22.531506,440300024063013,,
深圳地铁,地铁12号线(南宝线),900000094862,南山,0.841,37.27,113.923483,22.524037,440300024056005,,
深圳地铁,地铁12号线(南宝线),900000094862,南光,0.819,38.089,113.924322,22.516714,900000094862027,,
深圳地铁,地铁12号线(南宝线),900000094862,南油,0.735,38.824,113.925766,22.510238,440300024054036,,
深圳地铁,地铁12号线(南宝线),900000094862,四海,1.168,39.992,113.921978,22.500338,900000094862029,,
深圳地铁,地铁12号线(南宝线),900000094862,花果山,0.731,40.723,113.919046,22.494352,900000094862030,,
深圳地铁,地铁12号线(南宝线),900000094862,海上世界,1.105,41.828,113.915111,22.485101,440300024076004,,
深圳地铁,地铁12号线(南宝线),900000094862,太子湾,1.427,43.255,113.911117,22.472806,900000094862032,,
深圳地铁,地铁12号线(南宝线),900000094862,左炮台东,1.407,44.662,113.897893,22.469514,900000094862033,,
