系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
深圳地铁,地铁9号线,440300024054,前湾,梦海,440300024054041,440300024054040,0.471,
深圳地铁,地铁9号线,440300024054,梦海,怡海,440300024054040,440300024054039,0.675,
深圳地铁,地铁9号线,440300024054,怡海,荔林,440300024054039,440300024054038,1.02,
深圳地铁,地铁9号线,440300024054,荔林,南油西,440300024054038,440300024054037,0.626,
深圳地铁,地铁9号线,440300024054,南油西,南油,440300024054037,440300024054036,0.767,
深圳地铁,地铁9号线,440300024054,南油,南山书城,440300024054036,440300024054035,1.056,
深圳地铁,地铁9号线,440300024054,南山书城,深大南,440300024054035,440300024054034,1.034,
深圳地铁,地铁9号线,440300024054,深大南,粤海门,440300024054034,440300024054033,1.256,
深圳地铁,地铁9号线,440300024054,粤海门,高新南,440300024054033,440300024054032,0.467,
深圳地铁,地铁9号线,440300024054,高新南,红树湾南,440300024054032,440300024054031,2.448,
深圳地铁,地铁9号线,440300024054,红树湾南,深湾,440300024054031,440300024054030,0.738,
深圳地铁,地铁9号线,440300024054,深湾,深圳湾公园,440300024054030,440300024054029,1.498,
深圳地铁,地铁9号线,440300024054,深圳湾公园,下沙,440300024054029,440300024054028,3.308,
深圳地铁,地铁9号线,440300024054,下沙,车公庙,440300024054028,440300024050011,0.831,
深圳地铁,地铁9号线,440300024054,车公庙,香梅,440300024050011,440300024054016,1.746,
深圳地铁,地铁9号线,440300024054,香梅,景田,440300024054016,440300024054015,0.972,
深圳地铁,地铁9号线,440300024054,景田,梅景,440300024054015,440300024054027,1.012,
深圳地铁,地铁9号线,440300024054,梅景,下梅林,440300024054027,440300024054026,0.649,
深圳地铁,地铁9号线,440300024054,下梅林,梅村,440300024054026,440300024054025,1.137,
深圳地铁,地铁9号线,440300024054,梅村,上梅林,440300024054025,440300024054011,0.755,
深圳地铁,地铁9号线,440300024054,上梅林,孖岭,440300024054011,440300024054024,0.885,
深圳地铁,地铁9号线,440300024054,孖岭,银湖,440300024054024,440300024046039,2.267,
深圳地铁,地铁9号线,440300024054,银湖,泥岗,440300024046039,440300024054023,0.801,
深圳地铁,地铁9号线,440300024054,泥岗,红岭北,440300024054023,440300024050022,0.94,
深圳地铁,地铁9号线,440300024054,红岭北,园岭,440300024050022,440300024054006,0.639,
深圳地铁,地铁9号线,440300024054,园岭,红岭,440300024054006,440300024054005,0.879,
深圳地铁,地铁9号线,440300024054,红岭,红岭南,440300024054005,440300024054004,1.113,
深圳地铁,地铁9号线,440300024054,红岭南,鹿丹村,440300024054004,440300024054003,0.393,
深圳地铁,地铁9号线,440300024054,鹿丹村,人民南,440300024054003,440300024054021,0.979,
深圳地铁,地铁9号线,440300024054,人民南,向西村,440300024054021,440300024054020,0.915,
深圳地铁,地铁9号线,440300024054,向西村,文锦,440300024054020,440300024054019,0.6,
