系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
深圳地铁,地铁9号线,440300024054,前湾,0.0,0.0,113.895455,22.521820,440300024054041,,
深圳地铁,地铁9号线,440300024054,梦海,0.471,0.471,113.898806,22.518925,440300024054040,,
深圳地铁,地铁9号线,440300024054,怡海,0.675,1.146,113.903758,22.514933,440300024054039,,
深圳地铁,地铁9号线,440300024054,荔林,1.02,2.166,113.913128,22.511903,440300024054038,,
深圳地铁,地铁9号线,440300024054,南油西,0.626,2.792,113.918402,22.509074,440300024054037,,
深圳地铁,地铁9号线,440300024054,南油,0.767,3.559,113.925766,22.510238,440300024054036,,
深圳地铁,地铁9号线,440300024054,南山书城,1.056,4.615,113.928657,22.519355,440300024054035,,
深圳地铁,地铁9号线,440300024054,深大南,1.034,5.649,113.935675,22.526016,440300024054034,,
深圳地铁,地铁9号线,440300024054,粤海门,1.256,6.905,113.945531,22.532695,440300024054033,,
深圳地铁,地铁9号线,440300024054,高新南,0.467,7.372,113.950079,22.532797,440300024054032,,
深圳地铁,地铁9号线,440300024054,红树湾南,2.448,9.82,113.971433,22.523023,440300024054031,,
深圳地铁,地铁9号线,440300024054,深湾,0.738,10.558,113.978620,22.523078,440300024054030,,
深圳地铁,地铁9号线,440300024054,深圳湾公园,1.498,12.056,113.993114,22.521591,440300024054029,,
深圳地铁,地铁9号线,440300024054,下沙,3.308,15.364,114.024334,22.528900,440300024054028,,
深圳地铁,地铁9号线,440300024054,车公庙,0.831,16.195,114.025830,22.536247,440300024050011,,
深圳地铁,地铁9号线,440300024054,香梅,1.746,17.941,114.039683,22.545356,440300024054016,,
深圳地铁,地铁9号线,440300024054,景田,0.972,18.913,114.043343,22.553419,440300024054015,,
深圳地铁,地铁9号线,440300024054,梅景,1.012,19.925,114.037934,22.561028,440300024054027,,
深圳地铁,地铁9号线,440300024054,下梅林,0.649,20.574,114.041768,22.565672,440300024054026,,
深圳地铁,地铁9号线,440300024054,梅村,1.137,21.711,114.052423,22.568443,440300024054025,,
深圳地铁,地铁9号线,440300024054,上梅林,0.755,22.466,114.059440,22.570462,440300024054011,,
深圳地铁,地铁9号线,440300024054,孖岭,0.885,23.351,114.067778,22.568458,440300024054024,,
深圳地铁,地铁9号线,440300024054,银湖,2.267,25.618,114.089851,22.568308,440300024046039,,
深圳地铁,地铁9号线,440300024054,泥岗,0.801,26.419,114.097634,22.567804,440300024054023,,
深圳地铁,地铁9号线,440300024054,红岭北,0.94,27.359,114.104315,22.562030,440300024050022,,
深圳地铁,地铁9号线,440300024054,园岭,0.639,27.998,114.104497,22.556288,440300024054006,,
深圳地铁,地铁9号线,440300024054,红岭,0.879,28.877,114.104584,22.548380,440300024054005,,
深圳地铁,地铁9号线,440300024054,红岭南,1.113,29.99,114.106261,22.538490,440300024054004,,
深圳地铁,地铁9号线,440300024054,鹿丹村,0.393,30.383,114.108625,22.535708,440300024054003,,
深圳地铁,地铁9号线,440300024054,人民南,0.979,31.362,114.118154,22.535514,440300024054021,,
深圳地铁,地铁9号线,440300024054,向西村,0.915,32.277,114.125767,22.539792,440300024054020,,
深圳地铁,地铁9号线,440300024054,文锦,0.6,32.877,114.130962,22.542259,440300024054019,,
