系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
太原轨道交通,轨道交通2号线,900000056411,尖草坪,0.0,0.0,112.562913,37.915707,900000056411001,,
太原轨道交通,轨道交通2号线,900000056411,涧河,1.118,1.118,112.563217,37.905658,900000056411002,,
太原轨道交通,轨道交通2号线,900000056411,胜利街,0.924,2.042,112.562248,37.897381,900000056411003,,
太原轨道交通,轨道交通2号线,900000056411,大北门,1.028,3.07,112.562027,37.888139,900000056411004,,
太原轨道交通,轨道交通2号线,900000056411,缉虎营,1.037,4.107,112.561862,37.878814,900000056411005,,
太原轨道交通,轨道交通2号线,900000056411,府西街,0.749,4.856,112.560994,37.872117,900000056411006,,
太原轨道交通,轨道交通2号线,900000056411,开化寺街,0.788,5.644,112.560152,37.865063,900000056411007,,
太原轨道交通,轨道交通2号线,900000056411,大南门,0.642,6.286,112.559463,37.859312,900000056411008,,
太原轨道交通,轨道交通2号线,900000056411,体育馆,1.516,7.802,112.561056,37.845739,900000056411009,,
太原轨道交通,轨道交通2号线,900000056411,南内环,1.056,8.858,112.561326,37.836246,900000056411010,,
太原轨道交通,轨道交通2号线,900000056411,王村南街,0.643,9.501,112.561566,37.830465,900000056411011,,
太原轨道交通,轨道交通2号线,900000056411,长风街,1.521,11.022,112.561810,37.816785,900000056411012,,
太原轨道交通,轨道交通2号线,900000056411,学府街,1.157,12.179,112.561838,37.806381,900000056411013,,
太原轨道交通,轨道交通2号线,900000056411,南中环,1.346,13.525,112.561815,37.794280,900000056411014,,
太原轨道交通,轨道交通2号线,900000056411,晋阳街,0.648,14.173,112.561808,37.788452,900000056411015,,
太原轨道交通,轨道交通2号线,900000056411,龙兴街,0.758,14.931,112.561520,37.781640,900000056411016,,
太原轨道交通,轨道交通2号线,900000056411,龙城公园,0.887,15.818,112.561192,37.773671,900000056411017,,
太原轨道交通,轨道交通2号线,900000056411,嘉节,1.067,16.885,112.562221,37.764108,900000056411018,,
太原轨道交通,轨道交通2号线,900000056411,电子西街,1.337,18.222,112.564902,37.752275,900000056411019,,
太原轨道交通,轨道交通2号线,900000056411,康宁街,1.069,19.291,112.567439,37.742873,900000056411020,,
太原轨道交通,轨道交通2号线,900000056411,通达街,1.402,20.693,112.568565,37.730298,900000056411021,,
太原轨道交通,轨道交通2号线,900000056411,化章西街,1.383,22.076,112.567916,37.717869,900000056411022,,
太原轨道交通,轨道交通2号线,900000056411,西桥,1.188,23.264,112.562839,37.707969,900000056411023,,
