系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
天津地铁,地铁5号线,120100021323,京华东道,0.0,0.0,117.156700,39.031339,120100021323031,,
天津地铁,地铁5号线,120100021323,李七庄南,1.332,1.332,117.170661,39.036434,120100021323030,,
天津地铁,地铁5号线,120100021323,中医一附院,1.681,3.013,117.184741,39.046873,120100021323029,,
天津地铁,地铁5号线,120100021323,昌凌路,1.095,4.108,117.184695,39.056723,120100021323028,,
天津地铁,地铁5号线,120100021323,凌宾路,1.67,5.778,117.172010,39.068057,120100021323027,,
天津地铁,地铁5号线,120100021323,体育中心,0.743,6.521,117.172458,39.074732,120100021323026,,
天津地铁,地铁5号线,120100021323,肿瘤医院,1.021,7.542,117.182043,39.080114,120100021323025,,
天津地铁,地铁5号线,120100021323,天津宾馆,1.538,9.08,117.198548,39.085330,120100021323024,,
天津地铁,地铁5号线,120100021323,文化中心,0.723,9.803,117.206855,39.086142,120100021323023,,
天津地铁,地铁5号线,120100021323,西南楼,1.303,11.106,117.216060,39.095430,120100021323022,,
天津地铁,地铁5号线,120100021323,下瓦房,1.236,12.342,117.222893,39.105200,120100021323021,,
天津地铁,地铁5号线,120100021323,直沽,1.151,13.493,117.233925,39.111012,120100021323020,,
天津地铁,地铁5号线,120100021323,津塘路,0.89,14.383,117.241396,39.116533,120100021323019,,
天津地铁,地铁5号线,120100021323,成林道,1.574,15.957,117.245626,39.130300,120100021319015,,
天津地铁,地铁5号线,120100021323,靖江路,1.364,17.321,117.244243,39.142520,120100021323017,,
天津地铁,地铁5号线,120100021323,幸福公园,1.29,18.611,117.244190,39.154124,120100021323016,,
天津地铁,地铁5号线,120100021323,月牙河,1.194,19.805,117.245788,39.164793,120100021323015,,
天津地铁,地铁5号线,120100021323,金钟河大街,0.883,20.688,117.241892,39.172135,120100021323014,,
天津地铁,地铁5号线,120100021323,建昌道,1.041,21.729,117.234644,39.179628,120100021323013,,
天津地铁,地铁5号线,120100021323,思源路,0.747,22.476,117.227463,39.183388,120100021323012,,
天津地铁,地铁5号线,120100021323,志成路,0.829,23.305,117.219132,39.187116,120100021323011,,
天津地铁,地铁5号线,120100021323,张兴庄,0.651,23.956,117.214820,39.191928,120100021323010,,
天津地铁,地铁5号线,120100021323,宜兴埠北,1.477,25.433,117.205425,39.203038,120100021323009,,
天津地铁,地铁5号线,120100021323,辽河北道,0.881,26.314,117.200000,39.209751,120100021323008,,
天津地铁,地铁5号线,120100021323,淮河道,1.176,27.49,117.192484,39.218578,120100021323007,,
天津地铁,地铁5号线,120100021323,职业大学,1.655,29.145,117.181972,39.231034,120100021323006,,
天津地铁,地铁5号线,120100021323,北辰道,1.286,30.431,117.173656,39.240641,120100021323005,,
天津地铁,地铁5号线,120100021323,丹河北道,1.569,32.0,117.163651,39.252431,120100021323004,,
天津地铁,地铁5号线,120100021323,北辰科技园北,2.086,34.086,117.149889,39.267876,120100021323003,,
