系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
武汉地铁,轨道交通21号线(阳逻线),900000075739,后湖大道,0.0,0.0,114.304127,30.650284,420100024331004,,
武汉地铁,轨道交通21号线(阳逻线),900000075739,百步亭花园路,1.178,1.178,114.315485,30.654377,900000075739018,,
武汉地铁,轨道交通21号线(阳逻线),900000075739,新荣,1.691,2.869,114.332763,30.657595,420100034364026,,
武汉地铁,轨道交通21号线(阳逻线),900000075739,幸福湾,1.944,4.813,114.344101,30.672102,900000075739020,,
武汉地铁,轨道交通21号线(阳逻线),900000075739,朱家河,2.16,6.973,114.364654,30.680146,900000075739021,,
武汉地铁,轨道交通21号线(阳逻线),900000075739,谌家矶,0.909,7.882,114.373120,30.683869,900000075739022,,
武汉地铁,轨道交通21号线(阳逻线),900000075739,青龙,2.915,10.797,114.390414,30.705460,900000075739023,,
武汉地铁,轨道交通21号线(阳逻线),900000075739,高车,1.998,12.795,114.409040,30.713601,900000075739024,,
武汉地铁,轨道交通21号线(阳逻线),900000075739,武湖,2.132,14.927,114.429990,30.707017,900000075739025,,
武汉地铁,轨道交通21号线(阳逻线),900000075739,沙口,4.571,19.498,114.477733,30.709197,900000075739026,,
武汉地铁,轨道交通21号线(阳逻线),900000075739,军民村,3.586,23.084,114.515236,30.709985,900000075739027,,
武汉地铁,轨道交通21号线(阳逻线),900000075739,武生院,1.014,24.098,114.525709,30.708536,900000075739028,,
武汉地铁,轨道交通21号线(阳逻线),900000075739,阳逻,2.671,26.769,114.553039,30.703571,900000075739029,,
武汉地铁,轨道交通21号线(阳逻线),900000075739,阳逻开发区,1.425,28.194,114.567772,30.701603,900000075739030,,
武汉地铁,轨道交通21号线(阳逻线),900000075739,施岗,3.21,31.404,114.600916,30.706234,900000075739031,,
武汉地铁,轨道交通21号线(阳逻线),900000075739,金台,1.926,33.33,114.619116,30.713671,900000075739032,,
