系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
武汉地铁,轨道交通2号线,420100024404,佛祖岭,0.0,0.0,114.439777,30.438671,420100024404030,,
武汉地铁,轨道交通2号线,420100024404,藏龙东街,0.987,0.987,114.429655,30.437026,420100024404031,,
武汉地铁,轨道交通2号线,420100024404,秀湖,1.451,2.438,114.421034,30.447747,420100024404032,,
武汉地铁,轨道交通2号线,420100024404,金融港北,1.582,4.02,114.420416,30.461963,420100024404033,,
武汉地铁,轨道交通2号线,420100024404,黄龙山路,1.95,5.97,114.429936,30.477465,420100024404034,,
武汉地铁,轨道交通2号线,420100024404,武汉东站,1.07,7.04,114.431755,30.486956,420100024404035,,
武汉地铁,轨道交通2号线,420100024404,佳园路,1.455,8.495,114.430905,30.500021,420100024404036,,
武汉地铁,轨道交通2号线,420100024404,光谷大道,0.993,9.488,114.423817,30.506535,420100024404037,,
武汉地铁,轨道交通2号线,420100024404,华中科技大学,0.923,10.411,114.414237,30.507410,420100024404038,,
武汉地铁,轨道交通2号线,420100024404,珞雄路,0.902,11.313,114.404837,30.506941,420100024404039,,
武汉地铁,轨道交通2号线,420100024404,光谷广场,0.575,11.888,114.398936,30.506016,420100024404002,,
武汉地铁,轨道交通2号线,420100024404,杨家湾,1.556,13.444,114.382732,30.505122,420100024404003,,
武汉地铁,轨道交通2号线,420100024404,虎泉,1.423,14.867,114.370478,30.512359,420100024404004,,
武汉地铁,轨道交通2号线,420100024404,广埠屯,1.271,16.138,114.364207,30.522437,420100024404005,,
武汉地铁,轨道交通2号线,420100024404,街道口,1.125,17.263,114.353503,30.526597,420100024404006,,
武汉地铁,轨道交通2号线,420100024404,宝通寺,1.25,18.513,114.341206,30.530349,420100024404007,,
武汉地铁,轨道交通2号线,420100024404,中南路,1.123,19.636,114.332959,30.537528,420100024404008,,
武汉地铁,轨道交通2号线,420100024404,洪山广场,0.923,20.559,114.336354,30.545298,420100024404009,,
武汉地铁,轨道交通2号线,420100024404,小龟山,1.142,21.701,114.326520,30.551108,420100024404010,,
武汉地铁,轨道交通2号线,420100024404,螃蟹岬,0.901,22.602,114.317476,30.553333,420100024404011,,
武汉地铁,轨道交通2号线,420100024404,积玉桥,1.221,23.823,114.308679,30.561284,420100024404012,,
武汉地铁,轨道交通2号线,420100024404,江汉路,2.568,26.391,114.292306,30.579581,420100024335016,,
武汉地铁,轨道交通2号线,420100024404,循礼门,0.872,27.263,114.285992,30.585234,420100024404014,,
武汉地铁,轨道交通2号线,420100024404,中山公园,1.31,28.573,114.272845,30.581962,420100024404015,,
武汉地铁,轨道交通2号线,420100024404,青年路,0.882,29.455,114.264757,30.585762,420100024404016,,
武汉地铁,轨道交通2号线,420100024404,王家墩东,0.954,30.409,114.263288,30.594245,420100024404017,,
武汉地铁,轨道交通2号线,420100024404,范湖,1.513,31.922,114.261086,30.607717,420100024331012,,
武汉地铁,轨道交通2号线,420100024404,汉口火车站,1.044,32.966,114.254961,30.615485,420100024404019,,
武汉地铁,轨道交通2号线,420100024404,长港路,1.555,34.521,114.246021,30.627168,420100024404020,,
武汉地铁,轨道交通2号线,420100024404,常青花园,1.529,36.05,114.242435,30.640564,420100024335024,,
武汉地铁,轨道交通2号线,420100024404,金银潭,1.096,37.146,114.242807,30.650412,420100024404022,,
武汉地铁,轨道交通2号线,420100024404,常青城,1.496,38.642,114.255060,30.658775,420100024404023,,
武汉地铁,轨道交通2号线,420100024404,宏图大道,2.524,41.166,114.277759,30.670353,420100024331002,,
武汉地铁,轨道交通2号线,420100024404,盘龙城,3.752,44.918,114.259544,30.700235,420100024404025,,
武汉地铁,轨道交通2号线,420100024404,巨龙大道,1.376,46.294,114.253845,30.711596,420100024404026,,
武汉地铁,轨道交通2号线,420100024404,宋家岗,2.037,48.331,114.237299,30.723137,420100024404027,,
武汉地铁,轨道交通2号线,420100024404,航空总部,1.414,49.745,114.227261,30.732481,420100024404028,,
武汉地铁,轨道交通2号线,420100024404,天河机场,4.362,54.107,114.216618,30.770624,420100024404029,,
