系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
芜湖轨道交通,轨道交通1号线,900000075437,保顺路,0.0,0.0,118.412095,31.479819,900000075437001,,
芜湖轨道交通,轨道交通1号线,900000075437,华山路,1.254,1.254,118.403860,31.471000,900000075437002,,
芜湖轨道交通,轨道交通1号线,900000075437,泰山路,1.244,2.498,118.400910,31.460096,900000075437003,,
芜湖轨道交通,轨道交通1号线,900000075437,衡山路,1.153,3.651,118.393773,31.451700,900000075437004,,
芜湖轨道交通,轨道交通1号线,900000075437,龙山路,1.74,5.391,118.381457,31.440102,900000075437005,,
芜湖轨道交通,轨道交通1号线,900000075437,鞍山路,0.938,6.329,118.382984,31.431767,900000075437006,,
芜湖轨道交通,轨道交通1号线,900000075437,港湾路,1.67,7.999,118.380973,31.416850,900000075437007,,
芜湖轨道交通,轨道交通1号线,900000075437,裕安路,0.953,8.952,118.375178,31.409852,900000075437008,,
芜湖轨道交通,轨道交通1号线,900000075437,武夷山路,1.175,10.127,118.373896,31.399344,900000075437009,,
芜湖轨道交通,轨道交通1号线,900000075437,港一路,0.877,11.004,118.372902,31.391503,900000075437010,,
芜湖轨道交通,轨道交通1号线,900000075437,天柱山路,1.451,12.455,118.373254,31.378453,900000075437011,,
芜湖轨道交通,轨道交通1号线,900000075437,天门山路,0.94,13.395,118.373740,31.370012,900000075437012,,
芜湖轨道交通,轨道交通1号线,900000075437,赤铸山路,0.893,14.288,118.374245,31.361992,900000075437013,,
芜湖轨道交通,轨道交通1号线,900000075437,赭山路,1.203,15.491,118.374973,31.351189,900000075437014,,
芜湖轨道交通,轨道交通1号线,900000075437,赭山公园,0.703,16.194,118.372786,31.345150,900000075437015,,
芜湖轨道交通,轨道交通1号线,900000075437,中山北路,0.716,16.91,118.368674,31.339753,900000075437016,,
芜湖轨道交通,轨道交通1号线,900000075437,鸠兹广场,0.851,17.761,118.371759,31.332566,900000075437017,,
芜湖轨道交通,轨道交通1号线,900000075437,环城北路,1.216,18.977,118.380744,31.324770,900000075437018,,
芜湖轨道交通,轨道交通1号线,900000075437,奥体中心,1.499,20.476,118.378882,31.311380,900000075437019,,
芜湖轨道交通,轨道交通1号线,900000075437,红花山路,1.084,21.56,118.379874,31.301666,900000075437020,,
芜湖轨道交通,轨道交通1号线,900000075437,博览中心,0.849,22.409,118.380897,31.294078,900000075437021,,
芜湖轨道交通,轨道交通1号线,900000075437,文津东路,1.235,23.644,118.384043,31.283299,900000075437022,,
芜湖轨道交通,轨道交通1号线,900000075437,珩琅山路,2.069,25.713,118.389031,31.265191,900000075437023,,
芜湖轨道交通,轨道交通1号线,900000075437,芜湖南站,1.89,27.603,118.378615,31.250717,900000075437024,,
芜湖轨道交通,轨道交通1号线,900000075437,白马山,0.849,28.452,118.372376,31.245257,900000075437025,,
