系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
西安地铁,地铁2号线,610100021499,常宁宫,0.0,0.0,108.938532,34.111916,610100021499026,,
西安地铁,地铁2号线,610100021499,何家营,1.708,1.708,108.939886,34.127235,610100021499025,,
西安地铁,地铁2号线,610100021499,韦曲南,1.734,3.442,108.945513,34.142117,610100021499022,,
西安地铁,地铁2号线,610100021499,航天城,1.768,5.21,108.944668,34.158006,610100021499021,,
西安地铁,地铁2号线,610100021499,凤栖原,1.247,6.457,108.945207,34.169216,610100021499020,,
西安地铁,地铁2号线,610100021499,三爻,1.536,7.993,108.945910,34.183021,610100021499019,,
西安地铁,地铁2号线,610100021499,电视塔,1.681,9.674,108.947444,34.198082,610100021499018,,
西安地铁,地铁2号线,610100021499,八里村,1.615,11.289,108.946669,34.212592,610100021499017,,
西安地铁,地铁2号线,610100021499,小寨,1.139,12.428,108.946767,34.222838,610100020611008,,
西安地铁,地铁2号线,610100021499,体育场,1.061,13.489,108.946796,34.232378,610100021499015,,
西安地铁,地铁2号线,610100021499,南稍门,0.89,14.379,108.946913,34.240378,610100021499014,,
西安地铁,地铁2号线,610100021499,永宁门,0.868,15.247,108.946952,34.248186,610100021499013,,
西安地铁,地铁2号线,610100021499,钟楼,1.427,16.674,108.947068,34.261023,610100020621057,,
西安地铁,地铁2号线,610100021499,北大街,0.99,17.664,108.947165,34.269927,610100020728011,,
西安地铁,地铁2号线,610100021499,安远门,1.252,18.916,108.947231,34.281185,610100021499010,,
西安地铁,地铁2号线,610100021499,龙首原,1.228,20.144,108.947298,34.292233,610100021499009,,
西安地铁,地铁2号线,610100021499,大明宫西,1.429,21.573,108.947265,34.305087,610100021499008,,
西安地铁,地铁2号线,610100021499,青少年中心,1.415,22.988,108.947348,34.317812,610100021500017,,
西安地铁,地铁2号线,610100021499,凤城五路,1.332,24.32,108.947288,34.329789,610100021499006,,
西安地铁,地铁2号线,610100021499,行政中心,1.245,25.565,108.947329,34.340983,610100020613031,,
西安地铁,地铁2号线,610100021499,凤城十路,1.273,26.838,108.947695,34.352431,610100021499004,,
西安地铁,地铁2号线,610100021499,北苑,1.09,27.928,108.945214,34.362016,610100021499003,,
西安地铁,地铁2号线,610100021499,西安北站,2.02,29.948,108.938768,34.379390,610100020613004,,
西安地铁,地铁2号线,610100021499,红会医院北区,1.673,31.621,108.945243,34.393455,610100021499024,,
西安地铁,地铁2号线,610100021499,草滩,1.419,33.04,108.959303,34.398775,610100021499023,,
