系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
西安地铁,地铁5号线,900000074025,创新港,创新港东,900000074025001,900000074025002,1.303,
西安地铁,地铁5号线,900000074025,创新港东,翱翔小镇,900000074025002,900000074025003,1.72,
西安地铁,地铁5号线,900000074025,翱翔小镇,钓台,900000074025003,900000074025004,0.895,
西安地铁,地铁5号线,900000074025,钓台,沣西文化公园,900000074025004,900000074025005,1.056,
西安地铁,地铁5号线,900000074025,沣西文化公园,东马坊,900000074025005,900000074025006,1.214,
西安地铁,地铁5号线,900000074025,东马坊,高桥,900000074025006,900000074025014,2.307,
西安地铁,地铁5号线,900000074025,高桥,文教园,900000074025014,900000074025007,0.896,
西安地铁,地铁5号线,900000074025,文教园,欢乐谷,900000074025007,900000074025008,2.084,
西安地铁,地铁5号线,900000074025,欢乐谷,镐京,900000074025008,900000074025009,0.894,
西安地铁,地铁5号线,900000074025,镐京,复兴大道南,900000074025009,900000074025010,1.035,
西安地铁,地铁5号线,900000074025,复兴大道南,斗门,900000074025010,900000074025011,1.855,
西安地铁,地铁5号线,900000074025,斗门,王寺,900000074025011,900000074025012,1.377,
西安地铁,地铁5号线,900000074025,王寺,阿房宫南,900000074025012,900000074025013,1.975,
西安地铁,地铁5号线,900000074025,阿房宫南,石桥立交,900000074025013,900000074025015,0.833,
西安地铁,地铁5号线,900000074025,石桥立交,西窑头,900000074025015,900000074025016,1.681,
西安地铁,地铁5号线,900000074025,西窑头,汉城南路,900000074025016,900000074025017,1.798,
西安地铁,地铁5号线,900000074025,汉城南路,金光门,900000074025017,900000074025018,1.614,
西安地铁,地铁5号线,900000074025,金光门,丰庆公园,900000074025018,900000074025019,1.102,
西安地铁,地铁5号线,900000074025,丰庆公园,西北工业大学,900000074025019,610100020621018,1.147,
西安地铁,地铁5号线,900000074025,西北工业大学,边家村,610100020621018,900000074025021,1.213,
西安地铁,地铁5号线,900000074025,边家村,省人民医院·黄雁村,900000074025021,900000074025022,0.909,
西安地铁,地铁5号线,900000074025,省人民医院·黄雁村,南稍门,900000074025022,610100021499014,1.256,
西安地铁,地铁5号线,900000074025,南稍门,文艺路,610100021499014,900000074025024,0.794,
西安地铁,地铁5号线,900000074025,文艺路,建筑科技大学·李家村,900000074025024,610100020613017,0.744,
西安地铁,地铁5号线,900000074025,建筑科技大学·李家村,太乙路,610100020613017,900000074025026,0.945,
西安地铁,地铁5号线,900000074025,太乙路,雁翔路北口,900000074025026,900000074025027,1.455,
西安地铁,地铁5号线,900000074025,雁翔路北口,青龙寺,900000074025027,610100020611011,0.932,
西安地铁,地铁5号线,900000074025,青龙寺,理工大曲江校区,610100020611011,900000074025029,1.529,
西安地铁,地铁5号线,900000074025,理工大曲江校区,黄渠头,900000074025029,900000074025030,1.182,
西安地铁,地铁5号线,900000074025,黄渠头,马腾空,900000074025030,900000074025031,1.408,
西安地铁,地铁5号线,900000074025,马腾空,月登阁,900000074025031,900000074025032,0.929,
西安地铁,地铁5号线,900000074025,月登阁,雁鸣湖,900000074025032,900000074025033,1.175,
