系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
北京地铁,地铁16号线,北安河,0.0,0.0,116.130428,40.068128,900000062236001,,
北京地铁,地铁16号线,温阳路,2.633,2.633,116.161361,40.068516,900000062236002,,
北京地铁,地铁16号线,稻香湖路,2.28,4.913,116.188145,40.068936,900000062236003,,
北京地铁,地铁16号线,屯佃,2.358,7.271,116.215850,40.068454,900000062236004,,
北京地铁,地铁16号线,永丰,1.963,9.234,116.238481,40.071868,900000062236005,,
北京地铁,地铁16号线,永丰南,1.08,10.314,116.248154,40.065575,900000062236006,,
北京地铁,地铁16号线,西北旺,2.052,12.366,116.257923,40.048703,900000062236007,,
北京地铁,地铁16号线,马连洼,2.258,14.624,116.274280,40.032713,900000062236008,,
北京地铁,地铁16号线,农大南路,1.43,16.054,116.282272,40.021398,900000062236009,,
北京地铁,地铁16号线,西苑,2.676,18.73,116.290908,39.998258,110100023076004,,
北京地铁,地铁16号线,万泉河桥,1.665,20.395,116.300157,39.985067,900000062236011,,
北京地铁,地铁16号线,苏州街,1.173,21.568,116.306332,39.975642,110100023282003,,
北京地铁,地铁16号线,苏州桥,1.488,23.056,116.307831,39.962314,900000062236013,,
北京地铁,地铁16号线,万寿寺,1.627,24.683,116.309904,39.947773,900000062236014,,
北京地铁,地铁16号线,国家图书馆,1.402,26.085,116.325190,39.943114,110100023076011,,
北京地铁,地铁16号线,二里沟,1.394,27.479,116.333701,39.932410,110100023339036,,
北京地铁,地铁16号线,甘家口,1.005,28.484,116.334534,39.923392,900000062236017,,
北京地铁,地铁16号线,玉渊潭东门,1.04,29.524,116.334546,39.914042,900000062236018,,
北京地铁,地铁16号线,木樨地,0.785,30.309,116.337583,39.907379,110100023110011,,
北京地铁,地铁16号线,达官营,1.951,32.26,116.335608,39.889898,110100023054004,,
北京地铁,地铁16号线,红莲南路,1.378,33.638,116.336668,39.877533,900000062236021,,
北京地铁,地铁16号线,丽泽商务区,1.185,34.823,116.331268,39.867718,900000028907029,,
北京地铁,地铁16号线,东管头南,1.512,36.335,116.323133,39.855638,110100023092014,,
北京地铁,地铁16号线,丰台站,1.7,38.035,116.304501,39.850249,110100023282036,,
北京地铁,地铁16号线,丰台南路,1.222,39.257,116.296552,39.841106,110100023116005,,
北京地铁,地铁16号线,富丰桥,0.978,40.235,116.287023,39.836228,900000062236026,,
北京地铁,地铁16号线,看丹,1.247,41.482,116.272519,39.834910,900000062236027,,
北京地铁,地铁16号线,榆树庄,1.233,42.715,116.258964,39.838742,900000062236028,,
北京地铁,地铁16号线,洪泰庄,1.365,44.08,116.249321,39.848538,900000062236029,,
北京地铁,地铁16号线,宛平城,1.687,45.767,116.229571,39.849056,900000062236030,,
