系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
北京地铁,地铁房山线,阎村东,苏庄,110100023092013,110100023092012,2.193,
北京地铁,地铁房山线,苏庄,良乡南关,110100023092012,110100023092011,1.325,
北京地铁,地铁房山线,良乡南关,良乡大学城西,110100023092011,110100023092010,1.324,
北京地铁,地铁房山线,良乡大学城西,良乡大学城,110100023092010,110100023092009,1.733,
北京地铁,地铁房山线,良乡大学城,良乡大学城北,110100023092009,110100023092008,0.957,
北京地铁,地铁房山线,良乡大学城北,广阳城,110100023092008,110100023092007,2.008,
北京地铁,地铁房山线,广阳城,篱笆房,110100023092007,110100023092006,1.464,
北京地铁,地铁房山线,篱笆房,长阳,110100023092006,110100023092005,2.016,
北京地铁,地铁房山线,长阳,稻田,110100023092005,110100023092004,3.488,
北京地铁,地铁房山线,稻田,大葆台,110100023092004,110100023092003,6.386,
北京地铁,地铁房山线,大葆台,郭公庄,110100023092003,110100023092018,1.133,
北京地铁,地铁房山线,郭公庄,白盆窑,110100023092018,110100023092017,1.144,
北京地铁,地铁房山线,白盆窑,花乡东桥,110100023092017,110100023092016,1.212,
北京地铁,地铁房山线,花乡东桥,首经贸,110100023092016,110100023092015,1.696,
北京地铁,地铁房山线,首经贸,东管头南,110100023092015,110100023092014,1.268,
