系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
长春轨道交通,轨道交通8号线,北环城路,0.0,0.0,125.324223,43.947848,220100020890002,,
长春轨道交通,轨道交通8号线,一二三中学,0.98,0.98,125.330267,43.955517,900000080340015,,
长春轨道交通,轨道交通8号线,小南,1.07,2.05,125.329990,43.965140,900000080340016,,
长春轨道交通,轨道交通8号线,小城子街,0.661,2.711,125.331306,43.971009,900000080340017,,
长春轨道交通,轨道交通8号线,北湖大桥,2.068,4.779,125.356066,43.976351,900000080340018,,
长春轨道交通,轨道交通8号线,北湖公园,0.94,5.719,125.367816,43.976421,900000080340019,,
长春轨道交通,轨道交通8号线,和安街,0.772,6.491,125.377457,43.976307,900000080340020,,
长春轨道交通,轨道交通8号线,光机路,1.191,7.682,125.384605,43.985705,900000080340021,,
长春轨道交通,轨道交通8号线,大学城路,1.013,8.695,125.384621,43.994818,900000080340022,,
长春轨道交通,轨道交通8号线,地理所,1.11,9.805,125.397791,43.997949,900000080340023,,
长春轨道交通,轨道交通8号线,奥林匹克公园,0.984,10.789,125.409669,44.000267,900000080340024,,
长春轨道交通,轨道交通8号线,广通路,1.156,11.945,125.417761,44.008885,900000080340025,,
