系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
成都地铁,地铁3号线,成都医学院(新都校区),石油大学,900000039590037,900000039590036,0.798,
成都地铁,地铁3号线,石油大学,钟楼,900000039590036,900000039590035,1.105,
成都地铁,地铁3号线,钟楼,马超西路,900000039590035,900000039590034,1.334,
成都地铁,地铁3号线,马超西路,团结新区,900000039590034,900000039590033,1.127,
成都地铁,地铁3号线,团结新区,锦水河,900000039590033,900000039590032,0.931,
成都地铁,地铁3号线,锦水河,三河场,900000039590032,900000039590031,1.976,
成都地铁,地铁3号线,三河场,金华寺东路,900000039590031,900000039590030,2.044,
成都地铁,地铁3号线,金华寺东路,植物园,900000039590030,900000039590029,0.879,
成都地铁,地铁3号线,植物园,军区总医院(熊猫基地西大门),900000039590029,900000039590017,2.178,
成都地铁,地铁3号线,军区总医院(熊猫基地西大门),熊猫大道(熊猫基地南大门),900000039590017,900000039590016,2.226,
成都地铁,地铁3号线,熊猫大道(熊猫基地南大门),动物园,900000039590016,900000039590015,1.392,
成都地铁,地铁3号线,动物园,昭觉寺南路,900000039590015,900000039590014,1.337,
成都地铁,地铁3号线,昭觉寺南路,驷马桥,900000039590014,900000039590013,0.89,
成都地铁,地铁3号线,驷马桥,李家沱,900000039590013,900000039590012,0.689,
成都地铁,地铁3号线,李家沱,前锋路,900000039590012,900000039590011,1.174,
成都地铁,地铁3号线,前锋路,红星桥,900000039590011,900000039590010,0.884,
成都地铁,地铁3号线,红星桥,市二医院,900000039590010,900000039590009,1.318,
成都地铁,地铁3号线,市二医院,春熙路,900000039590009,510100024533012,0.906,
成都地铁,地铁3号线,春熙路,新南门,510100024533012,900000039590007,1.106,
成都地铁,地铁3号线,新南门,磨子桥,900000039590007,900000039590006,0.775,
成都地铁,地铁3号线,磨子桥,省体育馆,900000039590006,510100022320010,1.0,
成都地铁,地铁3号线,省体育馆,衣冠庙,510100022320010,900000039590004,1.389,
成都地铁,地铁3号线,衣冠庙,高升桥,900000039590004,900000039590003,1.107,
成都地铁,地铁3号线,高升桥,红牌楼,900000039590003,900000039590002,1.35,
成都地铁,地铁3号线,红牌楼,太平园,900000039590002,900000039590001,1.306,
成都地铁,地铁3号线,太平园,川藏立交,900000039590001,900000039590028,1.472,
成都地铁,地铁3号线,川藏立交,武侯立交,900000039590028,900000039590027,1.326,
成都地铁,地铁3号线,武侯立交,武青南路,900000039590027,900000039590026,0.905,
成都地铁,地铁3号线,武青南路,双凤桥,900000039590026,900000039590025,1.716,
成都地铁,地铁3号线,双凤桥,龙桥路,900000039590025,900000039590024,2.745,
成都地铁,地铁3号线,龙桥路,航都大街,900000039590024,900000039590023,1.566,
成都地铁,地铁3号线,航都大街,迎春桥,900000039590023,900000039590022,1.202,
成都地铁,地铁3号线,迎春桥,东升,900000039590022,900000039590021,1.394,
成都地铁,地铁3号线,东升,双流广场,900000039590021,900000039590020,0.915,
成都地铁,地铁3号线,双流广场,三里坝,900000039590020,900000039590019,1.307,
成都地铁,地铁3号线,三里坝,双流西站,900000039590019,900000039590018,1.171,
