系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
东莞轨道交通,轨道交通2号线,东莞火车站,茶山,900000039053015,900000039053014,1.924,
东莞轨道交通,轨道交通2号线,茶山,榴花公园,900000039053014,900000039053013,3.07,
东莞轨道交通,轨道交通2号线,榴花公园,下桥,900000039053013,900000039053012,3.296,
东莞轨道交通,轨道交通2号线,下桥,天宝,900000039053012,900000039053011,1.954,
东莞轨道交通,轨道交通2号线,天宝,东城,900000039053011,900000039053010,1.652,
东莞轨道交通,轨道交通2号线,东城,旗峰公园,900000039053010,900000039053009,1.632,
东莞轨道交通,轨道交通2号线,旗峰公园,市民中心,900000039053009,900000039053008,1.401,
东莞轨道交通,轨道交通2号线,市民中心,西平,900000039053008,900000039053007,2.215,
东莞轨道交通,轨道交通2号线,西平,蛤地,900000039053007,900000039053006,2.546,
东莞轨道交通,轨道交通2号线,蛤地,陈屋,900000039053006,900000039053005,4.592,
东莞轨道交通,轨道交通2号线,陈屋,寮厦,900000039053005,900000039053004,2.476,
东莞轨道交通,轨道交通2号线,寮厦,珊美,900000039053004,900000039053003,1.938,
东莞轨道交通,轨道交通2号线,珊美,展览中心,900000039053003,900000039053002,2.654,
东莞轨道交通,轨道交通2号线,展览中心,虎门火车站,900000039053002,900000039053001,4.901,
