系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
佛山地铁,南海有轨电车1号线,礌岗,0.0,0.0,113.155426,23.042607,440600021959016,,
佛山地铁,南海有轨电车1号线,华翠路,1.097,1.097,113.164210,23.036947,900000170038002,,
佛山地铁,南海有轨电车1号线,夏西,0.812,1.909,113.172051,23.035832,900000170038003,,
佛山地铁,南海有轨电车1号线,夏东,0.978,2.887,113.181520,23.034666,900000170038004,,
佛山地铁,南海有轨电车1号线,康怡公园,0.882,3.769,113.189986,23.033161,900000170038005,,
佛山地铁,南海有轨电车1号线,平西,0.813,4.582,113.195747,23.028123,900000170038006,,
佛山地铁,南海有轨电车1号线,平南,1.045,5.627,113.201777,23.020543,900000170038007,,
佛山地铁,南海有轨电车1号线,玉器街,0.847,6.474,113.209963,23.021661,900000170038008,,
佛山地铁,南海有轨电车1号线,中区,1.731,8.205,113.226331,23.025601,900000170038009,,
佛山地铁,南海有轨电车1号线,三山新城北,0.91,9.115,113.234775,23.023025,900000170038010,,
佛山地铁,南海有轨电车1号线,文翰湖公园(季华实验室),0.458,9.573,113.235812,23.019014,900000170038011,,
佛山地铁,南海有轨电车1号线,三山新城南,1.409,10.982,113.234279,23.006418,900000165206032,,
佛山地铁,南海有轨电车1号线,林岳北,0.341,11.323,113.233647,23.003406,900000170038013,,
佛山地铁,南海有轨电车1号线,林岳西,1.133,12.456,113.237161,22.993744,900000075494015,,
佛山地铁,南海有轨电车1号线,林岳东,1.044,13.5,113.247353,22.994175,900000170038015,,
