系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
广州地铁,地铁4号线,黄村,车陂,440100023035002,440100023035003,1.357,
广州地铁,地铁4号线,车陂,车陂南,440100023035003,440100023035004,1.206,
广州地铁,地铁4号线,车陂南,万胜围,440100023035004,440100023035005,2.084,
广州地铁,地铁4号线,万胜围,官洲,440100023035005,440100023035006,3.425,
广州地铁,地铁4号线,官洲,大学城北,440100023035006,440100023035007,1.418,
广州地铁,地铁4号线,大学城北,大学城南,440100023035007,440100023035008,2.206,
广州地铁,地铁4号线,大学城南,新造,440100023035008,440100023035009,2.302,
广州地铁,地铁4号线,新造,石碁,440100023035009,440100023035011,9.373,
广州地铁,地铁4号线,石碁,海傍,440100023035011,440100023033018,2.227,
广州地铁,地铁4号线,海傍,低涌,440100023033018,440100023035013,2.425,
广州地铁,地铁4号线,低涌,东涌,440100023035013,440100023035014,3.82,
广州地铁,地铁4号线,东涌,庆盛,440100023035014,440100023035015,2.385,
广州地铁,地铁4号线,庆盛,黄阁汽车城,440100023035015,440100023035016,3.99,
广州地铁,地铁4号线,黄阁汽车城,黄阁,440100023035016,440100023035017,1.542,
广州地铁,地铁4号线,黄阁,蕉门,440100023035017,440100023035018,2.818,
广州地铁,地铁4号线,蕉门,金洲,440100023035018,440100023035019,1.504,
广州地铁,地铁4号线,金洲,飞沙角,440100023035019,440100023035020,1.164,
广州地铁,地铁4号线,飞沙角,广隆,440100023035020,440100023035021,1.08,
广州地铁,地铁4号线,广隆,大涌,440100023035021,440100023035022,2.134,
广州地铁,地铁4号线,大涌,塘坑,440100023035022,440100023035023,1.874,
广州地铁,地铁4号线,塘坑,南横,440100023035023,440100023035024,2.261,
广州地铁,地铁4号线,南横,南沙客运港,440100023035024,440100023035025,2.721,
