系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
广州地铁,地铁7号线,燕山,0.0,0.0,113.475020,23.195180,900000043742018,,
广州地铁,地铁7号线,水西,0.938,0.938,113.478780,23.187489,900000043742019,,
广州地铁,地铁7号线,萝岗,1.344,2.282,113.481099,23.175589,440100023053025,,
广州地铁,地铁7号线,科丰路,2.086,4.368,113.466111,23.162857,900000043742021,,
广州地铁,地铁7号线,加庄,1.78,6.148,113.460106,23.147830,900000043742022,,
广州地铁,地铁7号线,姬堂,1.798,7.946,113.455914,23.132126,900000043742023,,
广州地铁,地铁7号线,大沙东,2.893,10.839,113.458515,23.106216,440100023037024,,
广州地铁,地铁7号线,裕丰围,1.295,12.134,113.455795,23.094844,900000043742025,,
广州地铁,地铁7号线,长洲,3.406,15.54,113.429383,23.076198,900000043742027,,
广州地铁,地铁7号线,深井,2.192,17.732,113.409559,23.068711,900000043742028,,
广州地铁,地铁7号线,大学城南,2.963,20.695,113.400478,23.043408,440100023035008,,
广州地铁,地铁7号线,板桥,3.212,23.907,113.388139,23.016845,900000043742002,,
广州地铁,地铁7号线,员岗,2.305,26.212,113.365641,23.015962,900000043742003,,
广州地铁,地铁7号线,南村万博,2.229,28.441,113.347555,23.004789,900000043742004,,
广州地铁,地铁7号线,汉溪长隆,2.24,30.681,113.329955,22.992812,440100023033004,,
广州地铁,地铁7号线,钟村,1.505,32.186,113.316980,22.986437,900000043742006,,
广州地铁,地铁7号线,谢村,2.213,34.399,113.295832,22.990579,900000043742007,,
广州地铁,地铁7号线,石壁,1.871,36.27,113.277964,22.994136,440100023308003,,
广州地铁,地铁7号线,广州南站,1.025,37.295,113.269815,22.988773,440100023308002,,
广州地铁,地铁7号线,大洲,1.396,38.691,113.257295,22.983794,900000043742010,,
广州地铁,地铁7号线,陈村北,1.5,40.191,113.245244,22.976123,900000043742011,,
广州地铁,地铁7号线,陈村,1.246,41.437,113.236869,22.967991,900000043742012,,
广州地铁,地铁7号线,锦龙,1.718,43.155,113.241500,22.953137,900000043742013,,
广州地铁,地铁7号线,南涌,1.574,44.729,113.238172,22.939321,900000043742014,,
广州地铁,地铁7号线,美的,1.326,46.055,113.226867,22.933506,900000043742015,,
广州地铁,地铁7号线,北滘公园,1.581,47.636,113.211919,22.929958,900000043742016,,
广州地铁,地铁7号线,美的大道,1.701,49.337,113.207767,22.944766,900000043742017,,
