系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
贵阳地铁,轨道交通1号线,小孟工业园,0.0,0.0,106.709631,26.497717,900000068716039,,
贵阳地铁,轨道交通1号线,清水江路,1.037,1.037,106.709301,26.507042,900000068716038,,
贵阳地铁,轨道交通1号线,长江路,1.219,2.256,106.711012,26.517896,900000068716037,,
贵阳地铁,轨道交通1号线,珠江路,0.923,3.179,106.710916,26.526198,900000068716036,,
贵阳地铁,轨道交通1号线,望城坡,1.153,4.332,106.712279,26.536496,900000068716035,,
贵阳地铁,轨道交通1号线,沙冲路,1.737,6.069,106.703009,26.549737,900000068716034,,
贵阳地铁,轨道交通1号线,贵阳火车站,0.879,6.948,106.703395,26.557631,900000068716033,,
贵阳地铁,轨道交通1号线,河滨公园,1.364,8.312,106.707840,26.569234,900000068716032,,
贵阳地铁,轨道交通1号线,中山西路,0.895,9.207,106.709770,26.577099,900000068716031,,
贵阳地铁,轨道交通1号线,喷水池,0.727,9.934,106.710272,26.583623,900000066417020,,
贵阳地铁,轨道交通1号线,北京路,1.12,11.054,106.706819,26.593213,900000068716029,,
贵阳地铁,轨道交通1号线,八鸽岩,0.558,11.612,106.703101,26.596972,900000068716028,,
贵阳地铁,轨道交通1号线,南垭路,2.101,13.713,106.704979,26.615794,900000068716027,,
贵阳地铁,轨道交通1号线,雅关,2.322,16.035,106.702330,26.636544,900000068716026,,
贵阳地铁,轨道交通1号线,贵阳北站,3.284,19.319,106.675334,26.619512,900000068716011,,
贵阳地铁,轨道交通1号线,白鹭湖,1.352,20.671,106.661739,26.619642,900000068716010,,
贵阳地铁,轨道交通1号线,新寨,1.282,21.953,106.654321,26.629075,900000068716009,,
贵阳地铁,轨道交通1号线,阳关,1.119,23.072,106.655737,26.639058,900000068716008,,
贵阳地铁,轨道交通1号线,国际生态会议中心,1.021,24.093,106.648565,26.645633,900000068716007,,
贵阳地铁,轨道交通1号线,观山湖公园,1.689,25.782,106.631581,26.645087,900000068716006,,
贵阳地铁,轨道交通1号线,林城西路,1.401,27.183,106.617487,26.645228,900000066417007,,
贵阳地铁,轨道交通1号线,阅山湖公园,0.922,28.105,106.608246,26.645964,900000068716004,,
贵阳地铁,轨道交通1号线,老湾塘,1.812,29.917,106.590209,26.648316,900000068716003,,
贵阳地铁,轨道交通1号线,下麦西,1.265,31.182,106.579946,26.655046,900000068716002,,
贵阳地铁,轨道交通1号线,窦官,1.076,32.258,106.569271,26.653414,900000068716040,,
