系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
杭州地铁,地铁4号线,浦沿,0.0,0.0,120.153380,30.159703,900000029624026,,
杭州地铁,地铁4号线,杨家墩,1.002,1.002,120.148860,30.167820,900000029624025,,
杭州地铁,地铁4号线,中医药大学,0.918,1.92,120.146432,30.175802,900000029624024,,
杭州地铁,地铁4号线,联庄,1.32,3.24,120.152024,30.186648,900000029624023,,
杭州地铁,地铁4号线,水澄桥,1.938,5.178,120.151946,30.204075,900000029624022,,
杭州地铁,地铁4号线,复兴路,1.3,6.478,120.163407,30.210287,900000029624021,,
杭州地铁,地铁4号线,南星桥,1.553,8.031,120.177384,30.217295,900000029624020,,
杭州地铁,地铁4号线,甬江路,1.446,9.477,120.190213,30.224098,900000029624019,,
杭州地铁,地铁4号线,近江,1.045,10.522,120.197851,30.230791,330100023133021,,
杭州地铁,地铁4号线,城星路,1.317,11.839,120.206954,30.239643,900000029624009,,
杭州地铁,地铁4号线,市民中心,0.705,12.544,120.211213,30.244809,900000029624008,,
杭州地铁,地铁4号线,江锦路,0.689,13.233,120.215568,30.249727,900000029624007,,
杭州地铁,地铁4号线,钱江路,0.726,13.959,120.213387,30.255978,330100020003014,,
杭州地铁,地铁4号线,景芳,1.132,15.091,120.207708,30.264903,900000029624005,,
杭州地铁,地铁4号线,新塘,1.253,16.344,120.207386,30.276171,900000029624004,,
杭州地铁,地铁4号线,新风,1.233,17.577,120.208080,30.287244,900000029624003,,
杭州地铁,地铁4号线,火车东站,0.632,18.209,120.212892,30.291124,330100023133011,,
杭州地铁,地铁4号线,彭埠,1.084,19.293,120.223661,30.294065,330100023133010,,
杭州地铁,地铁4号线,明石路,1.117,20.41,120.227420,30.303573,900000029624041,,
杭州地铁,地铁4号线,黎明,1.348,21.758,120.223611,30.315246,900000029624040,,
杭州地铁,地铁4号线,笕桥老街,0.943,22.701,120.219652,30.323009,900000029624039,,
杭州地铁,地铁4号线,华中南路,1.883,24.584,120.200064,30.323978,900000029624038,,
杭州地铁,地铁4号线,新天地街,1.99,26.574,120.179584,30.321168,900000029624037,,
杭州地铁,地铁4号线,皋亭坝,1.248,27.822,120.172197,30.330407,900000029624036,,
杭州地铁,地铁4号线,桃源街,1.375,29.197,120.178545,30.341489,900000029624035,,
杭州地铁,地铁4号线,吴家角港,1.387,30.584,120.169305,30.351086,900000029624034,,
杭州地铁,地铁4号线,独城生态公园,1.013,31.597,120.161388,30.357109,900000029624033,,
杭州地铁,地铁4号线,平安桥,1.687,33.284,120.143808,30.357189,900000029624032,,
杭州地铁,地铁4号线,储运路,1.538,34.822,120.128247,30.353879,900000029624031,,
杭州地铁,地铁4号线,杭行路,1.324,36.146,120.114455,30.353535,900000029624030,,
杭州地铁,地铁4号线,好运街,1.431,37.577,120.100048,30.350198,900000029624029,,
杭州地铁,地铁4号线,金家渡,1.978,39.555,120.083937,30.339103,330100020003042,,
杭州地铁,地铁4号线,池华街,1.955,41.51,120.068507,30.327626,900000029624027,,
