系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
哈尔滨地铁,地铁2号线,江北大学城,0.0,0.0,126.543571,45.873058,900000066208001,,
哈尔滨地铁,地铁2号线,哈尔滨北站,2.395,2.395,126.537098,45.851993,900000066208002,,
哈尔滨地铁,地铁2号线,大耿家,1.91,4.305,126.540919,45.835022,900000066208003,,
哈尔滨地铁,地铁2号线,龙川路,1.458,5.763,126.549543,45.823373,900000066208004,,
哈尔滨地铁,地铁2号线,世茂大道,1.87,7.633,126.552393,45.806676,900000066208005,,
哈尔滨地铁,地铁2号线,冰雪大世界,3.287,10.92,126.569029,45.779487,900000066208006,,
哈尔滨地铁,地铁2号线,太阳岛,1.61,12.53,126.588346,45.784782,900000066208007,,
哈尔滨地铁,地铁2号线,人民广场,1.758,14.288,126.604011,45.773348,900000066208008,,
哈尔滨地铁,地铁2号线,中央大街,1.083,15.371,126.616407,45.768860,900000066208009,,
哈尔滨地铁,地铁2号线,尚志大街,0.828,16.199,126.625999,45.765586,900000066208010,,
哈尔滨地铁,地铁2号线,哈尔滨站,0.777,16.976,126.634916,45.762410,900000066208011,,
哈尔滨地铁,地铁2号线,博物馆,0.82,17.796,126.643793,45.758405,230100020502009,,
哈尔滨地铁,地铁2号线,工人文化宫,1.219,19.015,126.653898,45.750010,900000066208013,,
哈尔滨地铁,地铁2号线,省政府,1.119,20.134,126.663409,45.742451,900000066208014,,
哈尔滨地铁,地铁2号线,省医院,1.249,21.383,126.677255,45.736725,900000066208015,,
哈尔滨地铁,地铁2号线,珠江路,1.2,22.583,126.692716,45.736622,900000066208016,,
哈尔滨地铁,地铁2号线,南直路,1.045,23.628,126.705955,45.734930,900000066208017,,
哈尔滨地铁,地铁2号线,东北农业大学,1.519,25.147,126.724040,45.729713,900000066208018,,
哈尔滨地铁,地铁2号线,气象台,1.469,26.616,126.742583,45.727093,900000066208019,,
