系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
南京地铁,地铁3号线,秣陵,0.0,0.0,118.835397,31.840852,320100021573045,,
南京地铁,地铁3号线,上秦淮西,1.032,1.032,118.836286,31.850101,320100021573046,,
南京地铁,地铁3号线,秣周东路,2.157,3.189,118.831022,31.868977,320100021573030,,
南京地铁,地铁3号线,东大九龙湖校区,3.009,6.198,118.830450,31.896037,320100021573031,,
南京地铁,地铁3号线,诚信大道,1.299,7.497,118.829894,31.907714,320100021573003,,
南京地铁,地铁3号线,九龙湖,1.235,8.732,118.821222,31.916035,320100021573032,,
南京地铁,地铁3号线,天元西路,1.761,10.493,118.808591,31.927697,320100021573005,,
南京地铁,地铁3号线,胜太西路,1.791,12.284,118.807434,31.943772,320100021573006,,
南京地铁,地铁3号线,宏运大道,1.79,14.074,118.803736,31.959557,320100021573008,,
南京地铁,地铁3号线,南京南站,1.428,15.502,118.796786,31.970968,320100021307016,,
南京地铁,地铁3号线,明发广场,0.762,16.264,118.800512,31.977050,320100021573034,,
南京地铁,地铁3号线,大明路,1.011,17.275,118.799624,31.986114,320100021573011,,
南京地铁,地铁3号线,卡子门,1.002,18.277,118.796879,31.994818,320100021573012,,
南京地铁,地铁3号线,雨花门,1.08,19.357,118.792454,32.003779,320100021573013,,
南京地铁,地铁3号线,武定门,1.127,20.484,118.794632,32.013747,320100021573035,,
南京地铁,地铁3号线,夫子庙,1.142,21.626,118.791072,32.023567,320100021571046,,
南京地铁,地铁3号线,常府街,1.1,22.726,118.792317,32.033401,320100021573016,,
南京地铁,地铁3号线,大行宫,0.953,23.679,118.794748,32.041717,320100021495013,,
南京地铁,地铁3号线,浮桥,0.783,24.462,118.796107,32.048660,320100021573018,,
南京地铁,地铁3号线,鸡鸣寺,0.975,25.437,118.798082,32.057266,320100021293011,,
南京地铁,地铁3号线,南京林业大学·新庄,2.425,27.862,118.810407,32.076407,320100021573037,,
南京地铁,地铁3号线,南京站,1.943,29.805,118.796509,32.089322,320100021573021,,
南京地铁,地铁3号线,小市,1.195,31.0,118.785737,32.094998,320100021573038,,
南京地铁,地铁3号线,五塘广场,1.883,32.883,118.777688,32.110500,320100021299009,,
南京地铁,地铁3号线,上元门,0.916,33.799,118.769936,32.115477,320100021573040,,
南京地铁,地铁3号线,柳洲东路,3.521,37.32,118.746237,32.139965,320100021573041,,
南京地铁,地铁3号线,天润城,1.666,38.986,118.734078,32.150854,320100021573042,,
南京地铁,地铁3号线,泰冯路,1.452,40.438,118.719024,32.153685,320100021573027,,
南京地铁,地铁3号线,东大成贤学院,1.087,41.525,118.707864,32.156194,320100021573043,,
南京地铁,地铁3号线,星火路,1.069,42.594,118.696577,32.157273,320100021573044,,
南京地铁,地铁3号线,林场,2.477,45.071,118.671334,32.163563,320100021573029,,
