系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
宁波轨道交通,轨道交通7号线,俞范,0.0,0.0,121.658783,29.964897,900000177140001,,
宁波轨道交通,轨道交通7号线,明海北路,3.388,3.388,121.623833,29.961489,900000177140002,,
宁波轨道交通,轨道交通7号线,贵驷,1.115,4.503,121.612775,29.964465,900000177140003,,
宁波轨道交通,轨道交通7号线,镇海市民广场,1.422,5.925,121.598243,29.966723,900000177140004,,
宁波轨道交通,轨道交通7号线,镇海大道(慈海),1.302,7.227,121.584767,29.967652,900000071573024,,
宁波轨道交通,轨道交通7号线,骆兴,1.896,9.123,121.565084,29.967543,900000177140006,,
宁波轨道交通,轨道交通7号线,应嘉路,1.872,10.995,121.550547,29.956372,900000177140007,,
宁波轨道交通,轨道交通7号线,宁慈东路,2.945,13.94,121.544715,29.930374,900000177140008,,
宁波轨道交通,轨道交通7号线,云飞路(康桥南),1.637,15.577,121.543653,29.915681,900000177140009,,
宁波轨道交通,轨道交通7号线,湾头,1.954,17.531,121.551123,29.899345,900000177140010,,
宁波轨道交通,轨道交通7号线,宁波大剧院,1.007,18.538,121.550407,29.890314,900000175472021,,
宁波轨道交通,轨道交通7号线,外滩大桥,1.163,19.701,121.558811,29.882812,330200021780014,,
宁波轨道交通,轨道交通7号线,曙光,1.532,21.233,121.572978,29.876565,900000177140013,,
宁波轨道交通,轨道交通7号线,体育馆,1.305,22.538,121.585329,29.871762,900000067955004,,
宁波轨道交通,轨道交通7号线,福民公园,1.158,23.696,121.597337,29.871839,900000177140015,,
宁波轨道交通,轨道交通7号线,新天路,0.792,24.488,121.605530,29.871340,900000177140016,,
宁波轨道交通,轨道交通7号线,民安东路,1.197,25.685,121.617371,29.868104,900000071573006,,
宁波轨道交通,轨道交通7号线,北明程路,0.944,26.629,121.626729,29.865603,900000177140018,,
宁波轨道交通,轨道交通7号线,盛莫路,1.373,28.002,121.636273,29.856445,330200021803020,,
宁波轨道交通,轨道交通7号线,邱隘,0.954,28.956,121.634392,29.848025,900000177140020,,
宁波轨道交通,轨道交通7号线,尚德路,2.029,30.985,121.630111,29.830164,900000177140021,,
宁波轨道交通,轨道交通7号线,回龙,1.345,32.33,121.627580,29.818271,900000177140022,,
宁波轨道交通,轨道交通7号线,安石路,2.069,34.399,121.626809,29.799677,900000177140023,,
宁波轨道交通,轨道交通7号线,小洋江,1.66,36.059,121.611398,29.793052,900000067964024,,
宁波轨道交通,轨道交通7号线,云龙,1.411,37.47,121.602208,29.783180,900000177140025,,
