系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
上海地铁,地铁12号线,七莘路,0.0,0.0,121.362461,31.131634,310100025711033,,
上海地铁,地铁12号线,虹莘路,1.821,1.821,121.380349,31.137452,310100025711032,,
上海地铁,地铁12号线,顾戴路,1.159,2.98,121.391850,31.140888,310100025711031,,
上海地铁,地铁12号线,东兰路,1.661,4.641,121.391919,31.155826,310100025711030,,
上海地铁,地铁12号线,虹梅路,0.714,5.355,121.397250,31.160350,310100025711029,,
上海地铁,地铁12号线,虹漕路,1.33,6.685,121.410553,31.164033,310100025711028,,
上海地铁,地铁12号线,桂林公园,0.925,7.61,121.419647,31.166985,310100025711027,,
上海地铁,地铁12号线,漕宝路,1.293,8.903,121.433143,31.168344,310100025685024,,
上海地铁,地铁12号线,龙漕路,1.077,9.98,121.444383,31.169458,310100025711025,,
上海地铁,地铁12号线,龙华,0.891,10.871,121.452958,31.172672,310100024518025,,
上海地铁,地铁12号线,龙华中路,1.359,12.23,121.457064,31.184379,310100024542012,,
上海地铁,地铁12号线,大木桥路,1.228,13.458,121.463278,31.194057,310100025711022,,
上海地铁,地铁12号线,嘉善路,1.005,14.463,121.460704,31.202820,310100024546020,,
上海地铁,地铁12号线,陕西南路,1.383,15.846,121.458741,31.215148,310100025685019,,
上海地铁,地铁12号线,南京西路,1.639,17.485,121.459971,31.229853,310100024524017,,
上海地铁,地铁12号线,汉中路,1.343,18.828,121.458699,31.241883,310100024524019,,
上海地铁,地铁12号线,曲阜路,1.222,20.05,121.471543,31.242307,310100025709015,,
上海地铁,地铁12号线,天潼路,1.038,21.088,121.482321,31.243815,310100025711016,,
上海地铁,地铁12号线,国际客运中心,1.663,22.751,121.498158,31.250160,310100025711015,,
上海地铁,地铁12号线,提篮桥,0.902,23.653,121.506801,31.253518,310100025711014,,
上海地铁,地铁12号线,大连路,0.774,24.427,121.513088,31.257938,310100025711013,,
上海地铁,地铁12号线,江浦公园,1.249,25.676,121.523697,31.264570,310100025711012,,
上海地铁,地铁12号线,宁国路,0.935,26.611,121.532352,31.268574,310100025711011,,
上海地铁,地铁12号线,隆昌路,1.386,27.997,121.544692,31.275213,310100025711010,,
上海地铁,地铁12号线,爱国路,0.912,28.909,121.552655,31.279788,310100025711009,,
上海地铁,地铁12号线,复兴岛,0.83,29.739,121.561315,31.280779,310100025711008,,
上海地铁,地铁12号线,东陆路,1.704,31.443,121.579124,31.282533,310100025711007,,
上海地铁,地铁12号线,巨峰路,0.902,32.345,121.588365,31.280684,310100024540022,,
上海地铁,地铁12号线,杨高北路,1.389,33.734,121.602960,31.280092,310100025711005,,
上海地铁,地铁12号线,金京路,1.19,34.924,121.615477,31.279823,310100025711004,,
上海地铁,地铁12号线,申江路,1.083,36.007,121.626863,31.280231,310100025711003,,
上海地铁,地铁12号线,金海路,2.205,38.212,121.638629,31.263141,310100024546033,,
