系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
上海地铁,地铁13号线,金运路,金沙江西路,310100024524008,310100024524007,1.507,
上海地铁,地铁13号线,金沙江西路,丰庄,310100024524007,310100024524006,1.906,
上海地铁,地铁13号线,丰庄,祁连山南路,310100024524006,310100024524005,1.277,
上海地铁,地铁13号线,祁连山南路,真北路,310100024524005,310100024524004,1.518,
上海地铁,地铁13号线,真北路,大渡河路,310100024524004,310100024524003,1.188,
上海地铁,地铁13号线,大渡河路,金沙江路,310100024524003,310100024524002,1.785,
上海地铁,地铁13号线,金沙江路,隆德路,310100024524002,310100024518020,1.003,
上海地铁,地铁13号线,隆德路,武宁路,310100024518020,310100024524010,0.785,
上海地铁,地铁13号线,武宁路,长寿路,310100024524010,310100024524009,1.034,
上海地铁,地铁13号线,长寿路,江宁路,310100024524009,310100024524020,0.73,
上海地铁,地铁13号线,江宁路,汉中路,310100024524020,310100024524019,1.345,
上海地铁,地铁13号线,汉中路,自然博物馆,310100024524019,310100024524018,0.697,
上海地铁,地铁13号线,自然博物馆,南京西路,310100024524018,310100024524017,0.768,
上海地铁,地铁13号线,南京西路,淮海中路,310100024524017,310100024524016,1.167,
上海地铁,地铁13号线,淮海中路,一大会址·新天地,310100024524016,310100024524015,1.108,
上海地铁,地铁13号线,一大会址·新天地,马当路,310100024524015,310100024524014,0.786,
上海地铁,地铁13号线,马当路,世博会博物馆,310100024524014,310100024524013,1.391,
上海地铁,地铁13号线,世博会博物馆,世博大道,310100024524013,310100024524012,1.664,
上海地铁,地铁13号线,世博大道,长清路,310100024524012,310100024524032,0.984,
上海地铁,地铁13号线,长清路,成山路,310100024524032,310100024524031,0.904,
上海地铁,地铁13号线,成山路,东明路,310100024524031,310100024524030,1.41,
上海地铁,地铁13号线,东明路,华鹏路,310100024524030,310100024524029,1.547,
上海地铁,地铁13号线,华鹏路,下南路,310100024524029,310100024524028,1.339,
上海地铁,地铁13号线,下南路,北蔡,310100024524028,310100024524027,1.129,
上海地铁,地铁13号线,北蔡,陈春路,310100024524027,310100024524026,0.812,
上海地铁,地铁13号线,陈春路,莲溪路,310100024524026,310100024524025,1.027,
上海地铁,地铁13号线,莲溪路,华夏中路,310100024524025,310100024524024,1.752,
上海地铁,地铁13号线,华夏中路,中科路,310100024524024,310100024524023,1.873,
上海地铁,地铁13号线,中科路,学林路,310100024524023,310100024524022,1.243,
上海地铁,地铁13号线,学林路,张江路,310100024524022,310100024524021,1.544,
