系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
沈阳地铁,地铁9号线,怒江公园,淮河街沈医二院,900000039632001,900000039632002,1.375,
沈阳地铁,地铁9号线,淮河街沈医二院,皇姑屯站,900000039632002,900000039632003,1.004,
沈阳地铁,地铁9号线,皇姑屯站,重型文化广场,900000039632003,900000039632004,0.937,
沈阳地铁,地铁9号线,重型文化广场,北二路,900000039632004,900000039632005,1.037,
沈阳地铁,地铁9号线,北二路,铁西广场,900000039632005,210100020752012,1.351,
沈阳地铁,地铁9号线,铁西广场,兴华公园,210100020752012,900000039632007,0.829,
沈阳地铁,地铁9号线,兴华公园,沈辽路,900000039632007,900000039632008,0.772,
沈阳地铁,地铁9号线,沈辽路,滑翔,900000039632008,900000039632009,1.058,
沈阳地铁,地铁9号线,滑翔,吉力湖街,900000039632009,900000039632010,1.734,
沈阳地铁,地铁9号线,吉力湖街,大通湖街,900000039632010,900000039632011,1.115,
沈阳地铁,地铁9号线,大通湖街,曹仲,900000039632011,900000039632012,2.39,
沈阳地铁,地铁9号线,曹仲,浑河站,900000039632012,900000039632013,1.103,
沈阳地铁,地铁9号线,浑河站,胜利南街,900000039632013,900000039632014,2.162,
沈阳地铁,地铁9号线,胜利南街,长白南,900000039632014,900000039632015,1.062,
沈阳地铁,地铁9号线,长白南,榆树台,900000039632015,900000039632016,0.964,
沈阳地铁,地铁9号线,榆树台,金阳大街,900000039632016,900000039632017,0.744,
沈阳地铁,地铁9号线,金阳大街,彩霞街,900000039632017,900000039632018,0.96,
沈阳地铁,地铁9号线,彩霞街,奥体中心,900000039632018,210100020748006,1.424,
沈阳地铁,地铁9号线,奥体中心,天成街,210100020748006,900000039632020,1.193,
沈阳地铁,地铁9号线,天成街,朗日街,900000039632020,900000039632021,1.446,
沈阳地铁,地铁9号线,朗日街,长青南街,900000039632021,900000039632022,1.413,
沈阳地铁,地铁9号线,长青南街,建筑大学,900000039632022,900000039632023,1.251,
